# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.997524660533e-10       3.455735035436e-15       1.974378482874e-13       0.000000000000e+00       2.564489501005e-09       3.589629916956e-10      -1.316899457476e-12 
    3       2.055259921452e-10       5.573129097003e-15       1.471516778564e-13       0.000000000000e+00       1.323086525379e-09       2.812364369482e-10      -1.023870613761e-12 
    4       2.085258420632e-10       6.170440272232e-15       1.124140580260e-13       0.000000000000e+00       8.074571732547e-10       2.269430004538e-10      -6.835058031837e-13 
    5       2.109766186652e-10       5.464537467737e-15       1.345512392992e-13       0.000000000000e+00       5.433745463466e-10       1.876069458639e-10      -3.679350171435e-13 
    6       2.133133045360e-10       4.357213071643e-15       2.194624310592e-13       0.000000000000e+00       3.892695956154e-10       1.579903869296e-10      -9.966649537992e-14 
    7       2.157284872710e-10       3.741104350148e-15       3.527780560983e-13       0.000000000000e+00       2.914939043653e-10       1.350283844123e-10       1.128073595123e-13 
    8       2.183042818583e-10       4.049962756636e-15       5.097185319739e-13       0.000000000000e+00       2.256623519563e-10       1.168163606657e-10       2.680368915970e-13 
    9       2.211924001214e-10       5.161617645934e-15       6.639167227028e-13       0.000000000000e+00       1.793150638732e-10       1.021130621971e-10       3.689077118154e-13 
   10       2.244933132866e-10       6.576233738571e-15       7.931301733759e-13       0.000000000000e+00       1.455135881768e-10       9.008278747970e-11       4.214468583057e-13 
   11       2.281395868505e-10       7.711034809945e-15       8.825677121565e-13       0.000000000000e+00       1.196047717600e-10       8.073142403049e-11       4.303005793698e-13 
   12       2.321268657073e-10       8.154932767205e-15       9.255701247085e-13       0.000000000000e+00       1.001866609075e-10       7.236695023316e-11       4.128781946102e-13 
   13       2.364883724418e-10       7.789832489320e-15       9.227139674864e-13       0.000000000000e+00       8.494307582932e-11       6.522821930835e-11       3.739403685324e-13 
   14       2.411533542168e-10       6.767389999922e-15       8.800244572208e-13       0.000000000000e+00       7.276655025808e-11       5.907424860874e-11       3.224323760998e-13 
   15       2.460410084940e-10       5.392718969694e-15       8.068448105747e-13       0.000000000000e+00       6.290130557568e-11       5.382004427018e-11       2.661159586111e-13 
   16       2.512212936566e-10       3.987551267462e-15       7.141853385746e-13       0.000000000000e+00       5.480900348588e-11       4.929828902366e-11       2.109728089290e-13 
   17       2.565072291835e-10       2.790231593945e-15       6.130092337944e-13       0.000000000000e+00       4.809736515639e-11       4.535766514033e-11       1.612925117208e-13 
   18       2.618625961038e-10       1.918850117414e-15       5.128873181368e-13       0.000000000000e+00       4.245212757157e-11       4.186049761442e-11       1.196955667387e-13 
   19       2.673132425422e-10       1.379625531444e-15       4.206851885528e-13       0.000000000000e+00       3.772530507467e-11       3.877231148981e-11       8.732668109216e-14 
   20       2.727802787382e-10       1.117059997361e-15       3.417951630754e-13       0.000000000000e+00       3.367641938730e-11       3.601498081653e-11       6.403034844227e-14 
   21       2.782646527293e-10       1.067741145777e-15       2.783646662787e-13       0.000000000000e+00       3.020709031377e-11       3.355841652131e-11       4.897195145361e-14 
   22       2.837385914834e-10       1.149341184326e-15       2.302018938649e-13       0.000000000000e+00       2.720291057430e-11       3.134588633023e-11       4.038186503808e-14 
   23       2.892143109986e-10       1.318241767241e-15       1.957679558114e-13       0.000000000000e+00       2.460228205159e-11       2.933806483991e-11       3.653573416606e-14 
   24       2.946780932305e-10       1.536724694395e-15       1.719936221073e-13       0.000000000000e+00       2.232513832383e-11       2.748337833623e-11       3.535239723038e-14 
   25       3.001337530116e-10       1.780561950469e-15       1.558759956707e-13       0.000000000000e+00       2.033063533532e-11       2.579483086292e-11       3.552764917431e-14 
   26       3.055655748975e-10       2.027833982869e-15       1.437580016923e-13       0.000000000000e+00       1.856870031113e-11       2.428458804708e-11       3.584127252163e-14 
   27       3.109890922637e-10       2.265659091931e-15       1.328181645493e-13       0.000000000000e+00       1.700893952348e-11       2.292037261686e-11       3.545854812188e-14 
   28       3.164107509718e-10       2.486014445868e-15       1.203693769334e-13       0.000000000000e+00       1.561560058344e-11       2.164924739737e-11       3.371454994984e-14 
   29       3.218468363476e-10       2.695165725449e-15       1.054407589771e-13       0.000000000000e+00       1.437629218851e-11       2.046773319096e-11       3.065277249473e-14 
   30       3.272921588872e-10       2.906600383415e-15       8.748713685197e-14       0.000000000000e+00       1.327225979271e-11       1.937895005755e-11       2.661297681812e-14 
   31       3.327218663389e-10       3.136013711382e-15       6.605579674874e-14       0.000000000000e+00       1.227429158029e-11       1.837728939272e-11       2.202371348389e-14 
   32       3.381487366276e-10       3.393587121655e-15       4.150990845936e-14       0.000000000000e+00       1.137401009552e-11       1.745867538278e-11       1.726263289576e-14 
   33       3.435821335756e-10       3.689092379561e-15       1.459290966723e-14       0.000000000000e+00       1.056229247276e-11       1.661226946656e-11       1.275580968497e-14 
   34       3.490161825374e-10       4.031596442572e-15      -1.385523736976e-14       0.000000000000e+00       9.824401709815e-12       1.582191490570e-11       8.941006499695e-15 
   35       3.544494306117e-10       4.421135808671e-15      -4.328634885514e-14       0.000000000000e+00       9.154518408854e-12       1.508396365220e-11       5.993725792430e-15 
   36       3.598682997852e-10       4.854010386470e-15      -7.318061178241e-14       0.000000000000e+00       8.545199270267e-12       1.439459748845e-11       4.005598043588e-15 
   37       3.652520752039e-10       5.325692845660e-15      -1.030840944501e-13       0.000000000000e+00       7.986107119755e-12       1.374717120591e-11       3.013820521954e-15 
   38       3.706148727464e-10       5.833731887613e-15      -1.331009652414e-13       0.000000000000e+00       7.474626494066e-12       1.314095577587e-11       2.860722368502e-15 
   39       3.759751983487e-10       6.375669394188e-15      -1.635711712986e-13       0.000000000000e+00       7.008139206355e-12       1.257466127887e-11       3.280950539912e-15 
   40       3.813434129771e-10       6.948190581680e-15      -1.949495427098e-13       0.000000000000e+00       6.580835167657e-12       1.204372360819e-11       3.932367979565e-15 
   41       3.867235302104e-10       7.547783812138e-15      -2.277369111923e-13       0.000000000000e+00       6.185505660995e-12       1.154209808933e-11       4.466466066345e-15 
   42       3.921217586957e-10       8.173114236377e-15      -2.622260486183e-13       0.000000000000e+00       5.820277084318e-12       1.106904236770e-11       4.779716792554e-15 
   43       3.975390279864e-10       8.823327711299e-15      -2.986873409306e-13       0.000000000000e+00       5.483612880411e-12       1.062405160249e-11       4.835259025316e-15 
   44       4.029676045660e-10       9.497394008741e-15      -3.374421662193e-13       0.000000000000e+00       5.172311436241e-12       1.020481922244e-11       4.594309151810e-15 
   45       4.083961456468e-10       1.019472944939e-14      -3.787791705171e-13       0.000000000000e+00       4.882510812460e-12       9.808199405374e-12       4.035620009054e-15 
   46       4.138286069518e-10       1.091730322549e-14      -4.226658048732e-13       0.000000000000e+00       4.613365495584e-12       9.433785984468e-12       3.220803763299e-15 
   47       4.192695838515e-10       1.166814891238e-14      -4.689559213392e-13       0.000000000000e+00       4.364249139524e-12       9.081152046363e-12       2.248531594034e-15 
   48       4.247184490415e-10       1.245081804327e-14      -5.174673707831e-13       0.000000000000e+00       4.133653899043e-12       8.748750820836e-12       1.237854540421e-15 
   49       4.301688658840e-10       1.326940938940e-14      -5.679801573776e-13       0.000000000000e+00       3.919126569384e-12       8.433831804162e-12       3.293206136534e-16 
   50       4.356128340721e-10       1.412752066564e-14      -6.202759435999e-13       0.000000000000e+00       3.717942182880e-12       8.133299704332e-12      -3.473892349173e-16 
   51       4.410552502841e-10       1.502470026331e-14      -6.742734884171e-13       0.000000000000e+00       3.529488505755e-12       7.846760732981e-12      -7.835014002915e-16 
   52       4.465024586352e-10       1.595908299281e-14      -7.299267821846e-13       0.000000000000e+00       3.353418399462e-12       7.574158209060e-12      -1.009047531985e-15 
   53       4.519577969033e-10       1.692836255844e-14      -7.871870072748e-13       0.000000000000e+00       3.188940468550e-12       7.314863435771e-12      -1.062441573063e-15 
   54       4.574213231564e-10       1.792977012902e-14      -8.460026384714e-13       0.000000000000e+00       3.034789904150e-12       7.067636192016e-12      -9.909382310407e-16 
   55       4.628916745666e-10       1.896051628973e-14      -9.063360275695e-13       0.000000000000e+00       2.889577493263e-12       6.831056029102e-12      -8.446384521060e-16 
   56       4.683728108714e-10       2.001929455760e-14      -9.682177517917e-13       0.000000000000e+00       2.753004971508e-12       6.605032139462e-12      -6.557116666219e-16 
   57       4.738684672991e-10       2.110511383647e-14      -1.031705942534e-12       0.000000000000e+00       2.624900520164e-12       6.389599369407e-12      -4.548149511313e-16 
   58       4.793799829962e-10       2.221686445825e-14      -1.096871710537e-12       0.000000000000e+00       2.504852943870e-12       6.184459571620e-12      -2.772963423915e-16 
   59       4.849061107265e-10       2.335331480753e-14      -1.163799888519e-12       0.000000000000e+00       2.392197247847e-12       5.988960439662e-12      -1.634018928162e-16 
   60       4.904428265708e-10       2.451310794605e-14      -1.232589773815e-12       0.000000000000e+00       2.286000215113e-12       5.802074342488e-12      -1.584827259180e-16 
   61       4.959855893426e-10       2.569504941870e-14      -1.303321665033e-12       0.000000000000e+00       2.185300559813e-12       5.622704565181e-12      -3.002993317500e-16 
   62       5.015371419844e-10       2.689905379784e-14      -1.375946014679e-12       0.000000000000e+00       2.089925006837e-12       5.450732239168e-12      -5.771360118569e-16 
   63       5.071011315563e-10       2.812540557810e-14      -1.450370600239e-12       0.000000000000e+00       1.999830630185e-12       5.286167917650e-12      -9.606094086879e-16 
   64       5.126797036973e-10       2.937449249038e-14      -1.526492198716e-12       0.000000000000e+00       1.914860221230e-12       5.128834342088e-12      -1.417543313339e-15 
   65       5.182733900529e-10       3.064681136537e-14      -1.604196243936e-12       0.000000000000e+00       1.834735943443e-12       4.978355665061e-12      -1.909766326180e-15 
   66       5.238809957021e-10       3.194297399703e-14      -1.683356483853e-12       0.000000000000e+00       1.759052987115e-12       4.834146673132e-12      -2.393909517473e-15 
   67       5.294994865842e-10       3.326371300609e-14      -1.763834637859e-12       0.000000000000e+00       1.687273224089e-12       4.695402009715e-12      -2.821204088003e-15 
   68       5.351256828024e-10       3.460950247411e-14      -1.845502016659e-12       0.000000000000e+00       1.618859236095e-12       4.561321531737e-12      -3.149052015959e-15 
   69       5.407619885906e-10       3.597931747616e-14      -1.928310234953e-12       0.000000000000e+00       1.553722119404e-12       4.431863494827e-12      -3.378912790744e-15 
   70       5.464116264921e-10       3.737163257539e-14      -2.012234277210e-12       0.000000000000e+00       1.491853435165e-12       4.307125323971e-12      -3.525765309777e-15 
   71       5.520768690160e-10       3.878478089568e-14      -2.097252017935e-12       0.000000000000e+00       1.433190158404e-12       4.187116330066e-12      -3.607111125887e-15 
   72       5.577589722500e-10       4.021695013269e-14      -2.183344440678e-12       0.000000000000e+00       1.377611922868e-12       4.071752972006e-12      -3.643073207330e-15 
   73       5.634581094743e-10       4.166617856503e-14      -2.270495857043e-12       0.000000000000e+00       1.324938265870e-12       3.960854118773e-12      -3.656494697805e-15 
   74       5.691733047740e-10       4.313035106529e-14      -2.358694125695e-12       0.000000000000e+00       1.274925873130e-12       3.854136311535e-12      -3.673037676476e-15 
   75       5.749023666529e-10       4.460719511113e-14      -2.447930871375e-12       0.000000000000e+00       1.227265823625e-12       3.751209025728e-12      -3.721281917981e-15 
   76       5.806429669524e-10       4.609451485265e-14      -2.538184450252e-12       0.000000000000e+00       1.181655729399e-12       3.651681738830e-12      -3.825698262419e-15 
   77       5.863962515001e-10       4.759095140930e-14      -2.629364775649e-12       0.000000000000e+00       1.138037432677e-12       3.555518147519e-12      -3.983871123120e-15 
   78       5.921637703276e-10       4.909535461383e-14      -2.721358782173e-12       0.000000000000e+00       1.096397849785e-12       3.462738235993e-12      -4.185282522741e-15 
   79       5.979463485689e-10       5.060655813394e-14      -2.814046654178e-12       0.000000000000e+00       1.056696721864e-12       3.373309794935e-12      -4.418022416495e-15 
   80       6.037440435589e-10       5.212338036485e-14      -2.907301690973e-12       0.000000000000e+00       1.018865395493e-12       3.287145976264e-12      -4.668741340271e-15 
   81       6.095561019318e-10       5.364462532193e-14      -3.000990172033e-12       0.000000000000e+00       9.828056033155e-13       3.204102847897e-12      -4.922603058758e-15 
   82       6.153809167200e-10       5.516908353336e-14      -3.094971222203e-12       0.000000000000e+00       9.483882446658e-13       3.123976948502e-12      -5.163237213572e-15 
   83       6.212159844525e-10       5.669553293272e-14      -3.189096676914e-12       0.000000000000e+00       9.154521661970e-13       3.046502842258e-12      -5.372691971374e-15 
   84       6.270588566358e-10       5.822268725678e-14      -3.283228556129e-12       0.000000000000e+00       8.838409140144e-13       2.971420502727e-12      -5.535460126862e-15 
   85       6.329102694041e-10       5.974902945453e-14      -3.377295109836e-12       0.000000000000e+00       8.535226614965e-13       2.898695655744e-12      -5.651428011656e-15 
   86       6.387714564536e-10       6.127295216906e-14      -3.471243859777e-12       0.000000000000e+00       8.244880197445e-13       2.828331651315e-12      -5.724996403756e-15 
   87       6.446431749872e-10       6.279280778714e-14      -3.565024975577e-12       0.000000000000e+00       7.967132611350e-13       2.760301629379e-12      -5.761218733191e-15 
   88       6.505256795256e-10       6.430690844960e-14      -3.658591435893e-12       0.000000000000e+00       7.701597381233e-13       2.694547248156e-12      -5.765822191573e-15 
   89       6.564186957182e-10       6.581352606166e-14      -3.751899189574e-12       0.000000000000e+00       7.447733020459e-13       2.630977412508e-12      -5.745228841643e-15 
   90       6.623213941541e-10       6.731089230332e-14      -3.844907316810e-12       0.000000000000e+00       7.204837219242e-13       2.569467002293e-12      -5.706576726822e-15 
   91       6.682323641732e-10       6.879719863971e-14      -3.937578190288e-12       0.000000000000e+00       6.972041032669e-13       2.509855600722e-12      -5.657740980760e-15 
   92       6.741495876767e-10       7.027059633142e-14      -4.029877636346e-12       0.000000000000e+00       6.748303068733e-13       2.451946222713e-12      -5.607354936885e-15 
   93       6.800711119281e-10       7.172925138245e-14      -4.121764025662e-12       0.000000000000e+00       6.532643583683e-13       2.395555617394e-12      -5.563042379629e-15 
