# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       4.616060425804e+03       4.616060425804e-11       4.616060425804e+17       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.985121549152e-08       1.903443976270e+44       4.655004511898e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00       0.000000000000e+00       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       6.266129296100e-19       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       4.616060425804e+03       4.648372848785e-11       4.583972617482e+17       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.985121549152e-08       1.851067333040e+44       4.526913791294e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -6.966131090254e-43       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       8.742019518425e-07       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       4.616060425804e+03       4.680911458726e-11       4.552107862445e+17       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.985121549152e-08       1.800131926217e+44       4.402347714471e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -1.398306605546e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       1.748403903684e-06       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       4.616060425804e+03       4.713677838937e-11       4.520464610174e+17       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.985121549152e-08       1.750598097619e+44       4.281209294592e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.105321636474e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       2.622605855526e-06       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       4.616060425804e+03       4.746673583810e-11       4.489041320927e+17       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.985121549152e-08       1.702427280332e+44       4.163404213587e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -2.817902595867e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       3.496807807367e-06       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.799403541256e-09       2.012173140839e+22       4.616060425804e+03       4.779900298897e-11       4.457836465667e+17       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.985121549152e-08       1.655581968676e+44       4.048840748713e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -3.536297219265e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       4.371009759209e-06       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       4.616060425804e+03       4.813359600989e-11       4.426848525985e+17       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.985121549152e-08       1.610025689010e+44       3.937429701143e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.260756679658e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       5.245211711050e-06       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.866706149187e-09       1.956804621446e+22       4.616060425804e+03       4.847053118196e-11       4.396075994027e+17       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.985121549152e-08       1.565722971329e+44       3.829084326512e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -4.991535685143e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       6.119413662891e-06       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.901266947854e-09       1.929694345585e+22       4.616060425804e+03       4.880982490023e-11       4.365517372420e+17       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.985121549152e-08       1.522639321645e+44       3.723720267383e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -5.728892578292e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       6.993615614733e-06       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       4.616060425804e+03       4.915149367453e-11       4.335171174201e+17       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.985121549152e-08       1.480741195137e+44       3.621255487561e+44       1.506182162623e-04      -1.506182162623e-04      -1.000000000000e+00       8.100000000000e+00      -6.473089437282e-42       4.518546487868e-04       2.147002369684e-04      -2.371076124023e-01       7.867817566574e-06       1.592850683960e+01 
