# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.997525226592e-10       3.455744897127e-15       1.974378468278e-13       9.861678759948e-21       2.564489501005e-09       3.589629916956e-10      -1.316899457476e-12 
    3       2.055261045798e-10       5.573148826375e-15       1.471516714018e-13       1.972924527296e-20       1.323086525379e-09       2.812364369482e-10      -1.023870613761e-12 
    4       2.085260277543e-10       6.170473168157e-15       1.124140396704e-13       3.289530307457e-20       8.074571732547e-10       2.269430004538e-10      -6.835058031837e-13 
    5       2.109768940795e-10       5.464586837960e-15       1.345511980229e-13       4.936808742685e-20       5.433745463466e-10       1.876069458639e-10      -3.679350171435e-13 
    6       2.133136850012e-10       4.357282235681e-15       2.194623511569e-13       6.915818651342e-20       3.892695956154e-10       1.579903869296e-10      -9.966649537992e-14 
    7       2.157289868356e-10       3.741196642525e-15       3.527779168768e-13       9.227868827101e-20       2.914939043653e-10       1.350283844123e-10       1.128073595123e-13 
    8       2.183049131936e-10       4.050081530436e-15       5.097183077408e-13       1.187453111656e-19       2.256623519563e-10       1.168163606657e-10       2.680368915970e-13 
    9       2.211931744683e-10       5.161766276573e-15       6.639163830546e-13       1.485764987630e-19       1.793150638732e-10       1.021130621971e-10       3.689077118154e-13 
   10       2.244942404476e-10       6.576415627689e-15       7.931296837771e-13       1.817934581021e-19       1.455135881768e-10       9.008278747970e-11       4.214468583057e-13 
   11       2.281406752266e-10       7.711253389243e-15       8.825670347865e-13       2.184201233183e-19       1.196047717600e-10       8.073142403049e-11       4.303005793698e-13 
   12       2.321281223767e-10       8.155191502043e-15       9.255692195381e-13       2.584830286477e-19       1.001866609075e-10       7.236695023316e-11       4.128781946102e-13 
   13       2.364898032760e-10       7.790134881869e-15       9.227127935350e-13       3.020110787682e-19       8.494307582932e-11       6.522821930835e-11       3.739403685324e-13 
   14       2.411549640290e-10       6.767739591635e-15       8.800229739319e-13       3.490352092397e-19       7.276655025808e-11       5.907424860874e-11       3.224323760998e-13 
   15       2.460428012134e-10       5.393119342896e-15       8.068429792424e-13       3.995879353683e-19       6.290130557568e-11       5.382004427018e-11       2.661159586111e-13 
   16       2.512232725192e-10       3.988006045843e-15       7.141831237481e-13       4.537027938859e-19       5.480900348588e-11       4.929828902366e-11       2.109728089290e-13 
   17       2.565093969333e-10       2.790744441794e-15       6.130066045861e-13       5.114136880998e-19       4.809736515639e-11       4.535766514033e-11       1.612925117208e-13 
   18       2.618649551984e-10       1.919424737579e-15       5.128842494006e-13       5.727542125868e-19       4.245212757157e-11       4.186049761442e-11       1.196955667387e-13 
   19       2.673157953310e-10       1.380265661285e-15       4.206816616357e-13       6.377565650656e-19       3.772530507467e-11       3.877231148981e-11       8.732668109216e-14 
   20       2.727830276689e-10       1.117769404391e-15       3.417911666984e-13       7.064513509448e-19       3.367641938730e-11       3.601498081653e-11       6.403034844227e-14 
   21       2.782676004727e-10       1.068523620553e-15       2.783601965385e-13       7.788660041212e-19       3.020709031377e-11       3.355841652131e-11       4.897195145361e-14 
   22       2.837417410922e-10       1.150200533166e-15       2.301969544158e-13       8.550246651462e-19       2.720291057430e-11       3.134588633023e-11       4.038186503808e-14 
   23       2.892176659669e-10       1.319181803084e-15       1.957625571368e-13       9.349469140051e-19       2.460228205159e-11       2.933806483991e-11       3.653573416606e-14 
   24       2.946816575879e-10       1.537749227426e-15       1.719877809701e-13       1.018647636101e-18       2.232513832383e-11       2.748337833623e-11       3.535239723038e-14 
   25       3.001375313001e-10       1.781674778246e-15       1.558697336662e-13       1.106136283254e-18       2.033063533532e-11       2.579483086292e-11       3.552764917431e-14 
   26       3.055695721894e-10       2.029038879834e-15       1.437513439964e-13       1.197416603402e-18       1.856870031113e-11       2.428458804708e-11       3.584127252163e-14 
   27       3.109933140768e-10       2.266959799598e-15       1.328111379881e-13       1.292486473911e-18       1.700893952348e-11       2.292037261686e-11       3.545854812188e-14 
   28       3.164152032095e-10       2.487414662941e-15       1.203620082062e-13       1.391337853773e-18       1.561560058344e-11       2.164924739737e-11       3.371454994984e-14 
   29       3.218515251139e-10       2.696669103014e-15       1.054330725552e-13       1.493958628310e-18       1.437629218851e-11       2.046773319096e-11       3.065277249473e-14 
   30       3.272970903738e-10       2.908210515758e-15       8.747915286329e-14       1.600330696462e-18       1.327225979271e-11       1.937895005755e-11       2.661297681812e-14 
   31       3.327270467099e-10       3.137734128188e-15       6.604752901584e-14       1.710430621887e-18       1.227429158029e-11       1.837728939272e-11       2.202371348389e-14 
   32       3.381541718058e-10       3.395421292160e-15       4.150136330256e-14       1.824235205380e-18       1.137401009552e-11       1.745867538278e-11       1.726263289576e-14 
   33       3.435878290629e-10       3.691043708733e-15       1.458408394708e-14       1.941717515104e-18       1.056229247276e-11       1.661226946656e-11       1.275580968497e-14 
   34       3.490221432529e-10       4.033668268126e-15      -1.386435794227e-14       2.062847466228e-18       9.824401709815e-12       1.582191490570e-11       8.941006499695e-15 
