# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.645272759149e-10       7.595602514705e-15       2.384672783013e-13       0.000000000000e+00       9.046289068954e-11       9.747469338926e-12      -8.315634225929e-15 
   41       1.669207591307e-10       8.245288798539e-15       2.288931901072e-13       0.000000000000e+00       8.598729584897e-11       9.307269825412e-12      -6.354418201284e-15 
   42       1.693239876903e-10       8.933821743103e-15       2.182422888655e-13       0.000000000000e+00       8.180145317235e-11       8.892097293726e-12      -5.629827201378e-15 
   43       1.717460999094e-10       9.660565737013e-15       2.064210631455e-13       0.000000000000e+00       7.789428271988e-11       8.502551744806e-12      -5.898719401044e-15 
   44       1.741941772448e-10       1.042452713769e-14       1.933179944436e-13       0.000000000000e+00       7.423739967072e-11       8.137880293901e-12      -6.845187343468e-15 
   45       1.766729055329e-10       1.122469857575e-14       1.788083627792e-13       0.000000000000e+00       7.079525951700e-11       7.796432862376e-12      -8.125191015719e-15 
   46       1.791840498363e-10       1.206126509717e-14       1.627734310793e-13       0.000000000000e+00       6.756245718222e-11       7.477464506403e-12      -9.527362378448e-15 
   47       1.817263808936e-10       1.293472216935e-14       1.450847913736e-13       0.000000000000e+00       6.453523523261e-11       7.179674995811e-12      -1.085233951832e-14 
   48       1.842954832206e-10       1.384554090807e-14       1.255978407547e-13       0.000000000000e+00       6.170023338250e-11       6.900603435542e-12      -1.186586347933e-14 
   49       1.868834908877e-10       1.479416771747e-14       1.041508366375e-13       0.000000000000e+00       5.903377434613e-11       6.636545413169e-12      -1.229695228666e-14 
   50       1.894823068642e-10       1.578098184284e-14       8.060900422102e-14       0.000000000000e+00       5.650899671320e-11       6.383627217009e-12      -1.192444128050e-14 
   51       1.920949042328e-10       1.680615528147e-14       5.501316505893e-14       0.000000000000e+00       5.412119291953e-11       6.141564458036e-12      -1.086853328844e-14 
   52       1.947266358382e-10       1.786975422374e-14       2.746981899302e-14       0.000000000000e+00       5.186811453319e-11       5.910780467792e-12      -9.375230140084e-15 
   53       1.973819209198e-10       1.897177553172e-14      -1.889234513973e-15       0.000000000000e+00       4.974238965252e-11       5.691310668814e-12      -7.737160179777e-15 
   54       2.000641448229e-10       2.011214439848e-14      -3.290572101494e-14       0.000000000000e+00       4.773117802968e-11       5.482774172519e-12      -6.295910705133e-15 
   55       2.027756956578e-10       2.129075226718e-14      -6.543284654442e-14       0.000000000000e+00       4.582008985347e-11       5.284574736317e-12      -5.361894428777e-15 
   56       2.055183146959e-10       2.250758698141e-14      -9.946289825791e-14       0.000000000000e+00       4.400687218836e-11       5.096627161805e-12      -4.945293884271e-15 
   57       2.082926573547e-10       2.376263086718e-14      -1.350292837892e-13       0.000000000000e+00       4.229051846243e-11       4.918761600954e-12      -4.962363283735e-15 
   58       2.110980709880e-10       2.505582255070e-14      -1.721705192847e-13       0.000000000000e+00       4.066712782669e-11       4.750490964739e-12      -5.311177095398e-15 
   59       2.139324999320e-10       2.638705618625e-14      -2.109305786178e-13       0.000000000000e+00       3.912972639509e-11       4.590991457098e-12      -5.870749521971e-15 
   60       2.167923905513e-10       2.775618068416e-14      -2.513592426030e-13       0.000000000000e+00       3.766808848465e-11       4.439083108904e-12      -6.500153979013e-15 
   61       2.196741889054e-10       2.916294428152e-14      -2.935025769680e-13       0.000000000000e+00       3.627157667595e-11       4.293549572048e-12      -7.067745912817e-15 
   62       2.225794413921e-10       3.060681546227e-14      -3.373710786622e-13       0.000000000000e+00       3.493881133596e-11       4.154225420025e-12      -7.548488255217e-15 
