# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495024724401e-10       7.296946827361e-15       4.813764235876e-13       2.390399204920e-19       8.734230077565e-09       4.856521998494e-10      -2.512507530067e-12 
    3       1.409163208532e-10       1.236215835732e-14       6.062667978138e-13       4.783118360681e-19       5.421480529172e-09       3.463836000770e-10      -2.209104706260e-12 
    4       1.324551060505e-10       1.443414525570e-14       6.271427161519e-13       7.976937718883e-19       3.775069528848e-09       2.635878405025e-10      -1.762188790137e-12 
    5       1.257505502006e-10       1.334932876918e-14       5.873185300455e-13       1.197472641695e-18       2.817197782621e-09       2.091075537865e-10      -1.308038328564e-12 
    6       1.208100368548e-10       1.030134485330e-14       5.168467682348e-13       1.677988545253e-18       2.198638086772e-09       1.707229508806e-10      -8.937896396595e-13 
    7       1.173386864308e-10       6.828519521865e-15       4.360956967417e-13       2.239623500434e-18       1.772745241364e-09       1.424068511024e-10      -5.436971390304e-13 
    8       1.150162707778e-10       4.036628300153e-15       3.573394087001e-13       2.882788957232e-18       1.465256725215e-09       1.207847588132e-10      -2.685298077512e-13 
    9       1.135986025676e-10       2.335511461662e-15       2.878432970129e-13       3.607912587374e-18       1.234304887657e-09       1.038183175828e-10      -6.990918737942e-14 
   10       1.128711544510e-10       1.573556530475e-15       2.316632625718e-13       4.415424870329e-18       1.055338724430e-09       9.024281134425e-11       5.749325784530e-14 
   11       1.126935066502e-10       1.349322080727e-15       1.905053795397e-13       5.305746002514e-18       8.886850301879e-10       7.949327726111e-11       1.232678651276e-13 
   12       1.129575082302e-10       1.292871643162e-15       1.640609139218e-13       6.279273641076e-18       7.765240177004e-10       7.027204900069e-11       1.420471187387e-13 
   13       1.135434516004e-10       1.206453437238e-15       1.505753669186e-13       7.336371957427e-18       6.844530934374e-10       6.273325726757e-11       1.276081284332e-13 
   14       1.143526398860e-10       1.061967313532e-15       1.474680588493e-13       8.477362420219e-18       6.078479731773e-10       5.619388701844e-11       9.269400187571e-14 
   15       1.153914689919e-10       9.192479782322e-16       1.517254741657e-13       9.702516654899e-18       5.433670566914e-10       5.072984484002e-11       4.954835478074e-14 
   16       1.166210418364e-10       8.396368696747e-16       1.603589717037e-13       1.101205164037e-17       4.885433208166e-10       4.609996266097e-11       7.262219453456e-15 
   17       1.179585861107e-10       8.404719468404e-16       1.708613950466e-13       1.240612740610e-17       4.415135307778e-10       4.210500324028e-11      -2.784166845011e-14 
   18       1.194081562481e-10       8.944656251493e-16       1.813368546274e-13       1.388484606507e-17       4.006931883935e-10       3.855886108954e-11      -5.224046385250e-14 
   19       1.209774614668e-10       9.689573954793e-16       1.908394156624e-13       1.544826070551e-17       3.654359544967e-10       3.543079204116e-11      -6.504178127256e-14 
   20       1.226104072758e-10       1.030407349624e-15       1.986704857810e-13       1.709636714555e-17       3.343821861913e-10       3.266625644728e-11      -6.704745671135e-14 
   21       1.243191992525e-10       1.081777502290e-15       2.048640419167e-13       1.882912910805e-17       3.070444651207e-10       3.022038653973e-11      -6.038151401744e-14 
   22       1.261038932255e-10       1.141238908433e-15       2.098082069793e-13       2.064646836934e-17       2.827694512423e-10       2.801154524305e-11      -4.838620387802e-14 
   23       1.279532397719e-10       1.228153776515e-15       2.140026436431e-13       2.254829468478e-17       2.612236566875e-10       2.600919240117e-11      -3.402789257541e-14 
   24       1.298345536104e-10       1.361051222547e-15       2.180463621404e-13       2.453449589094e-17       2.419091628058e-10       2.418056761538e-11      -2.043139385889e-14 
   25       1.317652072769e-10       1.540293202294e-15       2.223927739864e-13       2.660497279629e-17       2.245990745315e-10       2.253530796575e-11      -9.433146340207e-15 
   26       1.337582859408e-10       1.758835099755e-15       2.274147968914e-13       2.875962707065e-17       2.089804183591e-10       2.107582733910e-11      -2.352530604619e-15 
   27       1.357946645430e-10       2.010309815111e-15       2.331492514456e-13       3.099839181931e-17       1.948659553421e-10       1.976885175752e-11       6.274457464796e-16 
   28       1.378381503827e-10       2.288375906112e-15       2.394539169267e-13       3.332122385034e-17       1.820124179095e-10       1.856316832226e-11      -1.010971759597e-16 
   29       1.398984634100e-10       2.592535949191e-15       2.460267864968e-13       3.572813889390e-17       1.703542462696e-10       1.745461200846e-11      -3.748349976051e-15 
   30       1.419900301431e-10       2.923987590889e-15       2.524196784955e-13       3.821919191019e-17       1.597663446990e-10       1.644501808666e-11      -9.114366130023e-15 
   31       1.441168997136e-10       3.283312258517e-15       2.581049629077e-13       4.079447699489e-17       1.500328477850e-10       1.552682397098e-11      -1.478616360724e-14 
   32       1.462819878611e-10       3.668413495437e-15       2.627043552334e-13       4.345415090059e-17       1.411035684677e-10       1.469039170039e-11      -1.988950598337e-14 
   33       1.484785659603e-10       4.075706393686e-15       2.658349731419e-13       4.619842672362e-17       1.329154408956e-10       1.391748955900e-11      -2.359147988860e-14 
   34       1.506937164924e-10       4.502083784114e-15       2.671290992755e-13       4.902756766582e-17       1.253539698934e-10       1.318596868531e-11      -2.512490016333e-14 
