# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.370489174903e+12       4.024246793781e-22       3.381919668755e-07       4.052390351999e+18       1.415800837599e+04       1.033062401021e-08       1.940339721750e+16       1.952556949645e-07       9.706921332582e+36       6.310145096929e+27       3.447781711911e+28       3.492911100277e-08       6.714946191608e+36       1.642186756498e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -3.808230332212e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.901561460769e-05       2.331001022567e-01 
       1.360962437838e+12       4.080783436963e-22       3.405602910789e-07       3.996247076852e+18       1.415800837599e+04       1.040293837828e-08       1.926851759434e+16       1.966224848282e-07       9.439818143921e+36       6.179465813807e+27       3.376380240859e+28       3.492911100277e-08       6.530172515381e+36       1.596999069925e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -3.888764285306e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.909531479479e-05       2.327216930203e-01 
       1.351501924367e+12       4.138114363445e-22       3.429431671975e-07       3.940881630855e+18       1.415800837599e+04       1.047575894693e-08       1.913457556538e+16       1.979988422210e-07       9.180064774111e+36       6.051492819490e+27       3.306457451027e+28       3.492911100277e-08       6.350483215179e+36       1.553054802841e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -3.971001317529e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.917501498190e-05       2.323445103943e-01 
       1.342107174148e+12       4.196250732113e-22       3.453442332102e-07       3.886283237683e+18       1.415800837599e+04       1.054908925955e-08       1.900156461308e+16       1.993848341155e-07       8.927458979826e+36       5.926170068378e+27       3.237982719822e+28       3.492911100277e-08       6.175738385362e+36       1.510319740349e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -4.054977444477e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.925471516902e-05       2.319685484242e-01 
       1.332777730038e+12       4.255203858623e-22       3.477616701275e-07       3.832441270310e+18       1.415800837599e+04       1.062293288437e-08       1.886947826522e+16       2.007805279533e-07       8.681804082825e+36       5.803442675537e+27       3.170926058829e+28       3.492911100277e-08       6.005801970041e+36       1.468760609038e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -4.140729443385e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.933441535614e-05       2.315938011940e-01 
       1.323513138072e+12       4.314985217608e-22       3.501972969389e-07       3.779345248942e+18       1.415800837598e+04       1.069729341456e-08       1.873831009455e+16       2.021859916479e-07       8.442908816819e+36       5.683256892670e+27       3.105258100670e+28       3.492911100277e-08       5.840541657147e+36       1.428345051070e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -4.228294869224e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.941411554327e-05       2.312202628261e-01 
       1.314312947439e+12       4.375606444904e-22       3.526474756654e-07       3.726984838973e+18       1.415800837598e+04       1.077217446846e-08       1.860805371852e+16       2.036012935883e-07       8.210587178549e+36       5.565560084574e+27       3.040950086152e+28       3.492911100277e-08       5.679828775412e+36       1.389041598994e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -4.317712071157e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.949381573041e-05       2.308479274805e-01 
       1.305176710466e+12       4.437079339822e-22       3.551158442860e-07       3.675349848978e+18       1.415800837598e+04       1.084757968973e-08       1.847870279892e+16       2.050265026423e-07       7.984658282967e+36       5.450300706088e+27       2.977973851665e+28       3.492911100277e-08       5.523538194188e+36       1.350819651239e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -4.409020209327e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.957351591756e-05       2.304767893549e-01 
       1.296103982588e+12       4.499415867440e-22       3.576024028007e-07       3.624430228728e+18       1.415800837598e+04       1.092351274756e-08       1.835025104163e+16       2.064616881597e-07       7.764946222400e+36       5.337428279523e+27       2.916301816853e+28       3.492911100277e-08       5.371548226019e+36       1.313649448292e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -4.502259272012e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.965321610472e-05       2.301068426840e-01 
       1.287094322332e+12       4.562628160934e-22       3.601053322200e-07       3.574216067233e+18       1.415800837597e+04       1.099997733679e-08       1.822269219625e+16       2.079069199757e-07       7.551279929584e+36       5.226893372549e+27       2.855906972528e+28       3.492911100277e-08       5.223740531895e+36       1.277502049527e+37       3.357575687385e+00      -3.357575687385e+00      -1.000000000000e+00       8.500000000000e+00      -4.597470093135e-29       1.007272706216e+01       2.643748286188e+00      -1.453084558259e+01       4.973291629189e-05       2.297380817399e-01 
