# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.326212236469e+13       8.690109267070e-26       4.969479050487e-09       1.876595376797e+22       1.456774940808e+04       1.562022076992e-10       1.358619227874e+18       2.869287227191e-09       2.081614238068e+44       1.988512843847e+33       9.983720803150e+33       3.601553394783e-08       1.439995970030e+44       3.521610208217e+44       8.404041441934e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612163e-26       5.004039849155e-09       1.850596348695e+22       1.456774940808e+04       1.572956231531e-10       1.349175002854e+18       2.889372237781e-09       2.024334923495e+44       1.947331947224e+33       9.776963992110e+33       3.601553394783e-08       1.400371922191e+44       3.424706845803e+44       9.244445586127e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162367e-26       5.040419637226e-09       1.824957520490e+22       1.456774940808e+04       1.583966925152e-10       1.339796427859e+18       2.909597843445e-09       1.968631751041e+44       1.907003882029e+33       9.574488989402e+33       3.601553394783e-08       1.361838200436e+44       3.330469951592e+44       1.008484973032e-06       1.194638012970e+01 
       9.133072029615e+13       9.061541014599e-26       5.074980435893e-09       1.799673901843e+22       1.456774940808e+04       1.595054693628e-10       1.330483046534e+18       2.929965028349e-09       1.914461350357e+44       1.867510986638e+33       9.376207121367e+33       3.601553394783e-08       1.324364802505e+44       3.238826152974e+44       1.092525387451e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604313e-26       5.109541234560e-09       1.774740571553e+22       1.456774940808e+04       1.606220076483e-10       1.321234405694e+18       2.950474783548e-09       1.861781544502e+44       1.828835965191e+33       9.182031550727e+33       3.601553394783e-08       1.287922551705e+44       3.149704096318e+44       1.176565801871e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710257e-26       5.145921022631e-09       1.750152676600e+22       1.456774940808e+04       1.617463617019e-10       1.312050055307e+18       2.971128107032e-09       1.810551317112e+44       1.790961880015e+33       8.991877238549e+33       3.601553394783e-08       1.252483074190e+44       3.063034391410e+44       1.260606216290e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459295e-26       5.182300810702e-09       1.725905431197e+22       1.456774940808e+04       1.628785862338e-10       1.302929548467e+18       2.991926003782e-09       1.760730780460e+44       1.753872144203e+33       8.805660907007e+33       3.601553394783e-08       1.218018776871e+44       2.978749557437e+44       1.344646630709e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331300e-26       5.218680598773e-09       1.701994115864e+22       1.456774940808e+04       1.640187363374e-10       1.293872441378e+18       3.012869485808e-09       1.712281144399e+44       1.717550514356e+33       8.623301002906e+33       3.601553394783e-08       1.184502825932e+44       2.896783970435e+44       1.428687045128e-06       8.432738915080e+00 
       8.820019189868e+13       9.716207164109e-26       5.255060386844e-09       1.678414076503e+22       1.456774940808e+04       1.651668674918e-10       1.284878293324e+18       3.033959572208e-09       1.665164686165e+44       1.681981083465e+33       8.444717661971e+33       3.601553394783e-08       1.151909125938e+44       2.817073812204e+44       1.512727459548e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158557e-26       5.291440174915e-09       1.655160723499e+22       1.456774940808e+04       1.663230355642e-10       1.275946666658e+18       3.055197289214e-09       1.619344721000e+44       1.647148273944e+33       8.269832673864e+33       3.601553394783e-08       1.120212299515e+44       2.739557020614e+44       1.596767873967e-06       7.545082187176e+00 
       8.697823467967e+13       9.991130883574e-26       5.329638952389e-09       1.632229530821e+22       1.456774940808e+04       1.674872968132e-10       1.267077126770e+18       3.076583670238e-09       1.574785573594e+44       1.613036830811e+33       8.098569447939e+33       3.601553394783e-08       1.089387667592e+44       2.664173241283e+44       1.680808288386e-06       7.167828077817e+00 
       8.637361934426e+13       1.013149628136e-25       5.366018740460e-09       1.609616035143e+22       1.456774940808e+04       1.686597078909e-10       1.258269242076e+18       3.098119755930e-09       1.531452550306e+44       1.579631815005e+33       7.930852979695e+33       3.601553394783e-08       1.059411230189e+44       2.590863780590e+44       1.764848702805e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367261e-25       5.404217517935e-09       1.587315834978e+22       1.456774940808e+04       1.698403258461e-10       1.249522583988e+18       3.119806594221e-09       1.489311912151e+44       1.546918596845e+33       7.766609817928e+33       3.601553394783e-08       1.030259647727e+44       2.519571559971e+44       1.848889117224e-06       6.516207343470e+00 
       8.517696811915e+13       1.041817076188e-25       5.440597306006e-09       1.565324589816e+22       1.456774940808e+04       1.710292081270e-10       1.240836726900e+18       3.141645240380e-09       1.448330848536e+44       1.514882849619e+33       7.605768032565e+33       3.601553394783e-08       1.001910222855e+44       2.450241071482e+44       1.932929531644e-06       6.232893980710e+00 
       8.458487400115e+13       1.056453564291e-25       5.478796083480e-09       1.543638019283e+22       1.456774940808e+04       1.722264125839e-10       1.232211248163e+18       3.163636757063e-09       1.408477451704e+44       1.483510543315e+33       7.448257183160e+33       3.601553394783e-08       9.743408827823e+43       2.382818334576e+44       2.016969946063e-06       5.973190064847e+00 
       8.399689573103e+13       1.071295680416e-25       5.518813850358e-09       1.522251902308e+22       1.456774940808e+04       1.734319974720e-10       1.223645728066e+18       3.185782214362e-09       1.369720691902e+44       1.452787938474e+33       7.294008288048e+33       3.601553394783e-08       9.475301620897e+43       2.317250854079e+44       2.101010360482e-06       5.734262462253e+00 
       8.341300469814e+13       1.086346313430e-25       5.557012627833e-09       1.501162076298e+22       1.456774940808e+04       1.746460214543e-10       1.215139749817e+18       3.208082689863e-09       1.332030393213e+44       1.422701580172e+33       7.142953794130e+33       3.601553394783e-08       9.214571860169e+43       2.253487579315e+44       2.185050774901e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392787e-25       5.595211405307e-09       1.480364436332e+22       1.456774940808e+04       1.758685436045e-10       1.206692899521e+18       3.230539268692e-09       1.295377210063e+44       1.393238292127e+33       6.995027547293e+33       3.601553394783e-08       8.961016542097e+43       2.191478864357e+44       2.269091189320e-06       5.309502279864e+00 
       8.225737089444e+13       1.117084889098e-25       5.635229172185e-09       1.459854934359e+22       1.456774940808e+04       1.770996234097e-10       1.198304766158e+18       3.253153043572e-09       1.259732604377e+44       1.364385170934e+33       6.850164763434e+33       3.601553394783e-08       8.714438249143e+43       2.131176429374e+44       2.353131603740e-06       5.119877198440e+00 
       8.168557189121e+13       1.132778814705e-25       5.673427949660e-09       1.439629578413e+22       1.456774940808e+04       1.783393207736e-10       1.189974941567e+18       3.275925114877e-09       1.225068823353e+44       1.336129580404e+33       6.708302000091e+33       3.601553394783e-08       8.474644996064e+43       2.072533323040e+44       2.437172018159e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224272e-25       5.713445716538e-09       1.419684431830e+22       1.456774940808e+04       1.795876960190e-10       1.181703020424e+18       3.298856590681e-09       1.191358877859e+44       1.308459146041e+33       6.569377128655e+33       3.601553394783e-08       8.241450080431e+43       2.015503885980e+44       2.521212432578e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215380e-25       5.753463483416e-09       1.400015612490e+22       1.456774940808e+04       1.808448098911e-10       1.173488600222e+18       3.321948586816e-09       1.158576521413e+44       1.281361749615e+33       6.433329307164e+33       3.601553394783e-08       8.014671937265e+43       1.960043715217e+44       2.605252846997e-06       4.624405211494e+00 
       7.999391317146e+13       1.181195929125e-25       5.793481250294e-09       1.380619292056e+22       1.456774940808e+04       1.821107235603e-10       1.165331281253e+18       3.345202226923e-09       1.126696229756e+44       1.254825523857e+33       6.300098953657e+33       3.601553394783e-08       7.794133997669e+43       1.906109629598e+44       2.689293261416e-06       4.479892548635e+00 
       7.943784823382e+13       1.197790550733e-25       5.835318006575e-09       1.361491695230e+22       1.456774940808e+04       1.833854986253e-10       1.157230666587e+18       3.368618642512e-09       1.095693180972e+44       1.228838847262e+33       6.169627720079e+33       3.601553394783e-08       7.579664551354e+43       1.853659636181e+44       2.773333675835e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618310180e-25       5.875335773453e-09       1.342629099018e+22       1.456774940808e+04       1.846691971156e-10       1.149186362053e+18       3.392198973009e-09       1.065543236164e+44       1.203390339001e+33       6.041858466725e+33       3.601553394783e-08       7.371096612945e+43       1.802652897531e+44       2.857374090255e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482820e-25       5.917172529735e-09       1.324027832007e+22       1.456774940808e+04       1.859618814955e-10       1.141197976219e+18       3.415944365820e-09       1.036222920661e+44       1.178468853932e+33       5.916735237223e+33       3.601553394783e-08       7.168267791965e+43       1.753049699928e+44       2.941414504674e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390021e-25       5.957190296613e-09       1.305684273646e+22       1.456774940808e+04       1.872636146659e-10       1.133265120377e+18       3.439855976380e-09       1.007709405738e+44       1.154063477724e+33       5.794203234022e+33       3.601553394783e-08       6.971020166400e+43       1.704811422448e+44       3.025454919093e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533399814e-25       5.999027052894e-09       1.287594853549e+22       1.456774940808e+04       1.885744599686e-10       1.125387408517e+18       3.463934968215e-09       9.799804908440e+43       1.130163522077e+33       5.674208794393e+33       3.601553394783e-08       6.779200159740e+43       1.657900506886e+44       3.109495333512e-06       3.874501663684e+00 
