# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.625001405858e-10       7.212329111919e-15       2.447588411554e-13       6.921008982296e-17       9.332688808803e-11       8.939202058090e-12      -1.122002903338e-14 
   41       1.648601968714e-10       7.824178025690e-15       2.360927122941e-13       7.271373165168e-17       8.871335378888e-11       8.540676768469e-12      -8.421072987507e-15 
   42       1.672445379957e-10       8.474840522999e-15       2.262677536817e-13       7.630662936966e-17       8.439878915746e-11       8.166522349196e-12      -6.547331130045e-15 
   43       1.696513203242e-10       9.163370137593e-15       2.153012514589e-13       7.998901636710e-17       8.037168287756e-11       7.816478115226e-12      -5.587868217815e-15 
   44       1.720743491790e-10       9.888371670544e-15       2.032156553359e-13       8.376112863845e-17       7.660265988500e-11       7.488870224344e-12      -5.507188330223e-15 
   45       1.745064073523e-10       1.064842190163e-14       1.900104088866e-13       8.762316764176e-17       7.305496706116e-11       7.181279731467e-12      -6.221644911584e-15 
   46       1.769513519875e-10       1.144354626525e-14       1.755672511118e-13       9.157517589584e-17       6.972301919670e-11       6.893058749313e-12      -7.524672646427e-15 
   47       1.794149666908e-10       1.227413704297e-14       1.597167096396e-13       9.561712400372e-17       6.660295807396e-11       6.623368855045e-12      -9.136018281707e-15 
   48       1.819013810892e-10       1.314054203719e-14       1.422623517288e-13       9.974894226938e-17       6.368102832473e-11       6.370392945920e-12      -1.071847604190e-14 
   49       1.844128927162e-10       1.404306298339e-14       1.229792205975e-13       1.039705184547e-16       6.093284131753e-11       6.131264202646e-12      -1.187476473976e-14 
   50       1.869503696691e-10       1.498196654023e-14       1.016681652832e-13       1.082816878805e-16       5.833072286356e-11       5.902917336710e-12      -1.225161862285e-14 
   51       1.895150006561e-10       1.595752446070e-14       7.833984349760e-14       1.126822057664e-16       5.586981538229e-11       5.685079536476e-12      -1.189261408710e-14 
   52       1.921067120983e-10       1.696998158036e-14       5.307796136398e-14       1.171717635056e-16       5.354778845766e-11       5.477968588414e-12      -1.097571568075e-14 
   53       1.947234816694e-10       1.801954322013e-14       2.598878646626e-14       1.217499931232e-16       5.135702700618e-11       5.281414570743e-12      -9.716309662861e-15 
   54       1.973611875122e-10       1.910637419038e-14      -2.797785539077e-15       1.264164646729e-16       4.928427557921e-11       5.094832218388e-12      -8.369126466355e-15 
   55       2.000155079562e-10       2.023057977423e-14      -3.315680327534e-14       1.311707313562e-16       4.731468204356e-11       4.917451062297e-12      -7.177730426369e-15 
   56       2.026885187500e-10       2.139214542672e-14      -6.506473217110e-14       1.360124839705e-16       4.544591983803e-11       4.749136106344e-12      -6.203890880223e-15 
   57       2.053834706135e-10       2.259098035123e-14      -9.852507952620e-14       1.409414302691e-16       4.367695095595e-11       4.589722619250e-12      -5.459190530589e-15 
   58       2.081028129746e-10       2.382693254676e-14      -1.335409415228e-13       1.459572498729e-16       4.200375365800e-11       4.438759013414e-12      -4.953626661239e-15 
   59       2.108481230752e-10       2.509978710996e-14      -1.701150913779e-13       1.510595935260e-16       4.041913817873e-11       4.295489253035e-12      -4.695490766247e-15 
   60       2.136200350769e-10       2.640926453707e-14      -2.082500674964e-13       1.562480823519e-16       3.891256243318e-11       4.158835262229e-12      -4.691248179201e-15 
   61       2.164187463786e-10       2.775501647295e-14      -2.479501045778e-13       1.615223821485e-16       3.747306038852e-11       4.027684916658e-12      -4.937842460438e-15 
   62       2.192458297568e-10       2.913661568427e-14      -2.892272340297e-13       1.668824474425e-16       3.609921220266e-11       3.901871355221e-12      -5.397862351618e-15 
   63       2.221027040281e-10       3.055356081230e-14      -3.320967155181e-13       1.723283311447e-16       3.479109514300e-11       3.781383268660e-12      -6.018561810087e-15 
   64       2.249900411916e-10       3.200527698354e-14      -3.765754585665e-13       1.778601159498e-16       3.354728456146e-11       3.666070973570e-12      -6.738589804011e-15 
   65       2.279077138495e-10       3.349111403071e-14      -4.226821691850e-13       1.834779159731e-16       3.236476836357e-11       3.555638516449e-12      -7.487629584891e-15 
   66       2.308547426276e-10       3.501034471373e-14      -4.704374964975e-13       1.891818783875e-16       3.123886147754e-11       3.449635777755e-12      -8.186037960065e-15 
   67       2.338292435953e-10       3.656216294070e-14      -5.198641793709e-13       1.949721850607e-16       3.016312032337e-11       3.347450575952e-12      -8.744484565219e-15 
   68       2.368293155053e-10       3.814575356043e-14      -5.709796405632e-13       2.008490514851e-16       2.913106449693e-11       3.248488747692e-12      -9.086474587468e-15 
   69       2.398560278049e-10       3.976052213848e-14      -6.237716988591e-13       2.068127196575e-16       2.814193811118e-11       3.152774409915e-12      -9.222022730891e-15 
   70       2.429109463997e-10       4.140590875781e-14      -6.782181763714e-13       2.128634666909e-16       2.719596756666e-11       3.060457700869e-12      -9.188328099134e-15 
   71       2.459952193732e-10       4.308132061726e-14      -7.342939698850e-13       2.190016089331e-16       2.629261902171e-11       2.971634532652e-12      -9.028432094449e-15 
   72       2.491095484428e-10       4.478613208300e-14      -7.919710043274e-13       2.252275035345e-16       2.543055908185e-11       2.886343502836e-12      -8.791442944684e-15 
   73       2.522541604170e-10       4.651968474002e-14      -8.512181862390e-13       2.315415500160e-16       2.460761548919e-11       2.804562806095e-12      -8.532760230291e-15 
   74       2.554287786519e-10       4.828128744357e-14      -9.120013572428e-13       2.379441918362e-16       2.382073781188e-11       2.726207145831e-12      -8.314299411314e-15 
   75       2.586325945076e-10       5.007021637059e-14      -9.742832475151e-13       2.444359179598e-16       2.306595813352e-11       2.651124645796e-12      -8.204716354399e-15 
   76       2.618647386350e-10       5.188560446631e-14      -1.038023672332e-12       2.510171765587e-16       2.233937655363e-11       2.579140635561e-12      -8.261970599597e-15 
   77       2.651258571506e-10       5.372608639561e-14      -1.103180265941e-12       2.576880944842e-16       2.164041206005e-11       2.510205051834e-12      -8.476847946759e-15 
   78       2.684167723623e-10       5.559008863951e-14      -1.169707797603e-12       2.644487092498e-16       2.096907580363e-11       2.444266430410e-12      -8.819499011735e-15 
   79       2.717379904401e-10       5.747593217556e-14      -1.237557899511e-12       2.712990521291e-16       2.032498087787e-11       2.381225324132e-12      -9.256051423022e-15 
   80       2.750896831223e-10       5.938183026129e-14      -1.306679025248e-12       2.782391479212e-16       1.970732402288e-11       2.320932175698e-12      -9.748472190321e-15 
   81       2.784716694210e-10       6.130588621761e-14      -1.377016408239e-12       2.852690147174e-16       1.911486732940e-11       2.263185190475e-12      -1.025443007309e-14 
   82       2.818833973288e-10       6.324609121221e-14      -1.448512020210e-12       2.923886636667e-16       1.854591994281e-11       2.207728209313e-12      -1.072715794909e-14 
   83       2.853239255243e-10       6.520032204302e-14      -1.521104529636e-12       2.995980987419e-16       1.799831976711e-11       2.154248581350e-12      -1.111531518296e-14 
   84       2.887923528099e-10       6.716651889713e-14      -1.594736016103e-12       3.068973225062e-16       1.746995935361e-11       2.102450567961e-12      -1.137448926730e-14 
   85       2.922892282929e-10       6.914325734199e-14      -1.669373483298e-12       3.142863550247e-16       1.696050381316e-11       2.052294195832e-12      -1.150419301321e-14 
   86       2.958153425285e-10       7.112926753514e-14      -1.744990852826e-12       3.217652176736e-16       1.646992547673e-11       2.003792284673e-12      -1.151677688680e-14 
   87       2.993712899636e-10       7.312326347589e-14      -1.821562596340e-12       3.293339272870e-16       1.599797601692e-11       1.956937591583e-12      -1.142639219338e-14 
   88       3.029574581675e-10       7.512394381353e-14      -1.899063807541e-12       3.369924960235e-16       1.554417729793e-11       1.911701953290e-12      -1.124904906406e-14 
