# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495024724400e-10       7.296946827368e-15       4.813764235877e-13       2.390399288449e-19       8.734230077573e-09       4.856521998425e-10      -2.512507530060e-12 
    3       1.409163208537e-10       1.236215835734e-14       6.062667978137e-13       4.783118529896e-19       5.421480529183e-09       3.463836000783e-10      -2.209104706262e-12 
    4       1.324551060530e-10       1.443414525573e-14       6.271427161485e-13       7.976938005570e-19       3.775069528853e-09       2.635878405128e-10      -1.762188790177e-12 
    5       1.257505502019e-10       1.334932876922e-14       5.873185300448e-13       1.197472685541e-18       2.817197782639e-09       2.091075537875e-10      -1.308038328572e-12 
    6       1.208100368553e-10       1.030134485336e-14       5.168467682417e-13       1.677988607988e-18       2.198638086797e-09       1.707229508692e-10      -8.937896395571e-13 
    7       1.173386864333e-10       6.828519521945e-15       4.360956967410e-13       2.239623586070e-18       1.772745241364e-09       1.424068510987e-10      -5.436971389698e-13 
    8       1.150162707830e-10       4.036628300252e-15       3.573394086854e-13       2.882789070074e-18       1.465256725276e-09       1.207847588257e-10      -2.685298079232e-13 
    9       1.135986025761e-10       2.335511461806e-15       2.878432969595e-13       3.607912731998e-18       1.234304887743e-09       1.038183175923e-10      -6.990918757089e-14 
   10       1.128711544528e-10       1.573556530634e-15       2.316632626094e-13       4.415425051536e-18       1.055338724493e-09       9.024281133592e-11       5.749325803403e-14 
   11       1.126935066586e-10       1.349322080951e-15       1.905053794916e-13       5.305746225273e-18       8.886850302185e-10       7.949327724863e-11       1.232678655381e-13 
   12       1.129575082362e-10       1.292871643416e-15       1.640609139428e-13       6.279273910445e-18       7.765240177285e-10       7.027204900431e-11       1.420471187029e-13 
   13       1.135434516180e-10       1.206453437512e-15       1.505753667002e-13       7.336372278468e-18       6.844530934634e-10       6.273325728227e-11       1.276081278100e-13 
   14       1.143526398989e-10       1.061967314009e-15       1.474680587311e-13       8.477362797903e-18       6.078479732015e-10       5.619388702346e-11       9.269400149521e-14 
   15       1.153914690024e-10       9.192479784810e-16       1.517254741539e-13       9.702517094010e-18       5.433670567141e-10       5.072984482917e-11       4.954835535421e-14 
   16       1.166210418555e-10       8.396368705129e-16       1.603589714501e-13       1.101205214541e-17       4.885433208378e-10       4.609996264908e-11       7.262220401013e-15 
   17       1.179585861220e-10       8.404719473179e-16       1.708613951237e-13       1.240612798119e-17       4.415135307978e-10       4.210500324201e-11      -2.784166842542e-14 
   18       1.194081562594e-10       8.944656258952e-16       1.813368547122e-13       1.388484671390e-17       4.006931884124e-10       3.855886110074e-11      -5.224046483973e-14 
   19       1.209774614872e-10       9.689573972797e-16       1.908394154001e-13       1.544826143127e-17       3.654359545146e-10       3.543079205057e-11      -6.504178234271e-14 
   20       1.226104073025e-10       1.030407352401e-15       1.986704852836e-13       1.709636795086e-17       3.343821862083e-10       3.266625644387e-11      -6.704745639702e-14 
   21       1.243191992829e-10       1.081777505331e-15       2.048640412896e-13       1.882912999499e-17       3.070444651369e-10       3.022038652549e-11      -6.038151234228e-14 
   22       1.261038932608e-10       1.141238910623e-15       2.098082062173e-13       2.064646933942e-17       2.827694512578e-10       2.801154523525e-11      -4.838620283081e-14 
   23       1.279532398088e-10       1.228153777468e-15       2.140026430268e-13       2.254829573902e-17       2.612236567023e-10       2.600919240806e-11      -3.402789328875e-14 
   24       1.298345536400e-10       1.361051223094e-15       2.180463622525e-13       2.453449702989e-17       2.419091628200e-10       2.418056762839e-11      -2.043139562176e-14 
   25       1.317652072971e-10       1.540293204162e-15       2.223927749126e-13       2.660497402015e-17       2.245990745451e-10       2.253530797384e-11      -9.433147736608e-15 
   26       1.337582859591e-10       1.758835105056e-15       2.274147980446e-13       2.875962837933e-17       2.089804183723e-10       2.107582733497e-11      -2.352530192406e-15 
   27       1.357946645638e-10       2.010309824040e-15       2.331492524576e-13       3.099839321262e-17       1.948659553547e-10       1.976885174321e-11       6.274478196712e-16 
   28       1.378381504042e-10       2.288375916426e-15       2.394539179074e-13       3.332122532807e-17       1.820124179216e-10       1.856316830963e-11      -1.010954488280e-16 
   29       1.398984634304e-10       2.592535958825e-15       2.460267876095e-13       3.572814045601e-17       1.703542462813e-10       1.745461200625e-11      -3.748350035554e-15 
   30       1.419900301633e-10       2.923987599001e-15       2.524196798108e-13       3.821919355694e-17       1.597663447103e-10       1.644501809490e-11      -9.114367811901e-15 
   31       1.441168997370e-10       3.283312265553e-15       2.581049643960e-13       4.079447872698e-17       1.500328477959e-10       1.552682398113e-11      -1.478616520969e-14 
   32       1.462819878906e-10       3.668413501972e-15       2.627043568377e-13       4.345415271930e-17       1.411035684783e-10       1.469039170543e-11      -1.988950623841e-14 
   33       1.484785659974e-10       4.075706400034e-15       2.658349748003e-13       4.619842863090e-17       1.329154409059e-10       1.391748955740e-11      -2.359147876314e-14 
   34       1.506937165369e-10       4.502083790339e-15       2.671291009166e-13       4.902756966446e-17       1.253539699034e-10       1.318596868093e-11      -2.512489881593e-14 
   35       1.529340032177e-10       4.950147243194e-15       2.665246713184e-13       5.194187072583e-17       1.183805126565e-10       1.249636858614e-11      -2.458483923998e-14 
   36       1.552071244863e-10       5.424872555544e-15       2.640788563520e-13       5.494167827540e-17       1.119391810473e-10       1.185375369085e-11      -2.242137886356e-14 
   37       1.575154005977e-10       5.931433663874e-15       2.598895802025e-13       5.802737533458e-17       1.059462078372e-10       1.126031058967e-11      -1.919036135704e-14 
   38       1.598593191998e-10       6.472200354866e-15       2.540767054812e-13       6.119929800823e-17       1.003861454074e-10       1.071507416719e-11      -1.537708310052e-14 
   39       1.622339299394e-10       7.048795441609e-15       2.468000315105e-13       6.445779667724e-17       9.524138447812e-11       1.021356858783e-11      -1.152962880828e-14 
   40       1.646270074165e-10       7.662900797695e-15       2.382681890442e-13       6.780326141608e-17       9.046289069794e-11       9.747469335488e-12      -8.315635161906e-15 
   41       1.670246736794e-10       8.315924723663e-15       2.286793942648e-13       7.123608360478e-17       8.598729585715e-11       9.307269820177e-12      -6.354418434427e-15 
   42       1.694321336318e-10       9.007870106759e-15       2.180133182359e-13       7.475652000186e-17       8.180145318032e-11       8.892097286916e-12      -5.629826664997e-15 
   43       1.718585227843e-10       9.738100405333e-15       2.061765028914e-13       7.836478843709e-17       7.789428272766e-11       8.502551736906e-12      -5.898718228824e-15 
   44       1.743109196858e-10       1.050562098312e-14       1.930574913525e-13       8.206110435521e-17       7.423739967832e-11       8.137880285702e-12      -6.845185907121e-15 
   45       1.767940073181e-10       1.130942336531e-14       1.785316337824e-13       8.584564375222e-17       7.079525952441e-11       7.796432854914e-12      -8.125189887795e-15 
   46       1.793095484865e-10       1.214969122307e-14       1.624802717431e-13       8.971841980601e-17       6.756245718947e-11       7.477464500565e-12      -9.527362038931e-15 
   47       1.818563118747e-10       1.302691848690e-14       1.447750850556e-13       9.367936861591e-17       6.453523523970e-11       7.179674992174e-12      -1.085234024443e-14 
   48       1.844298799980e-10       1.394157461151e-14       1.252715682423e-13       9.772838014285e-17       6.170023338943e-11       6.900603434311e-12      -1.186586530334e-14 
   49       1.870223849829e-10       1.489410421124e-14       1.038080861598e-13       1.018652956608e-16       5.903377435291e-11       6.636545414106e-12      -1.229695495144e-14 
   50       1.896257279750e-10       1.588488458954e-14       8.024997895768e-14       1.060899017874e-16       5.650899671984e-11       6.383627219471e-12      -1.192444427156e-14 
   51       1.922428805642e-10       1.691408558275e-14       5.463818147820e-14       1.104019165778e-16       5.412119292603e-11       6.141564461385e-12      -1.086853612557e-14 
   52       1.948791942825e-10       1.798177104224e-14       2.707931251522e-14       1.148009952513e-16       5.186811453956e-11       5.910780471531e-12      -9.375232475862e-15 
   53       1.975390871848e-10       1.908793532481e-14      -2.294700964529e-15       1.192867306363e-16       4.974238965877e-11       5.691310672616e-12      -7.737161826703e-15 
   54       2.002259435633e-10       2.023250094659e-14      -3.332544822085e-14       1.238586504617e-16       4.773117803581e-11       5.482774176261e-12      -6.295911664146e-15 
   55       2.029421504530e-10       2.141535657366e-14      -6.586599591029e-14       1.285162695346e-16       4.582008985949e-11       5.284574740064e-12      -5.361894875138e-15 
   56       2.056894475071e-10       2.263648742009e-14      -9.990850804050e-14       1.332592676617e-16       4.400687219427e-11       5.096627165629e-12      -4.945294009934e-15 
   57       2.084684883813e-10       2.389587313425e-14      -1.354862703954e-13       1.380873511817e-16       4.229051846825e-11       4.918761604885e-12      -4.962363250012e-15 
   58       2.112786186705e-10       2.519344954259e-14      -1.726376730434e-13       1.430002013913e-16       4.066712783241e-11       4.750490968752e-12      -5.311177026199e-15 
   59       2.141177809535e-10       2.652910787517e-14      -2.114065595455e-13       1.479974739746e-16       3.912972640071e-11       4.590991461109e-12      -5.870749496714e-15 
   60       2.169824198377e-10       2.790269399109e-14      -2.518425761646e-13       1.530787984314e-16       3.766808849018e-11       4.439083112761e-12      -6.500154025211e-15 
