# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.430475473617e+04       1.430475473617e-10       1.430475473617e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.985121549152e-08       1.903443976270e+44       4.655004511898e+44       5.095606713789e-07       0.000000000000e+00       0.000000000000e+00       1.575601273938e+01       1.707232417019e-05       1.505585981397e-06      -2.187373424169e-04       2.557915287499e-02       5.408252734093e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.430475473617e+04       1.440488801933e-10       1.420531751358e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.985121549152e-08       1.851067333040e+44       4.526913791294e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       7.184610202416e-43       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       7.545176412404e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.430475473617e+04       1.450572223546e-10       1.410657151299e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.985121549152e-08       1.800131926217e+44       4.402347714471e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.442161764422e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.509035282480e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.430475473617e+04       1.460726229111e-10       1.400851192948e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.985121549152e-08       1.750598097619e+44       4.281209294592e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.171350942554e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.263552923720e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.430475473617e+04       1.470951312715e-10       1.391113399154e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.985121549152e-08       1.702427280332e+44       4.163404213587e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.906280613640e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       3.018070564959e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.430475473617e+04       1.481247971904e-10       1.381443296081e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.985121549152e-08       1.655581968676e+44       4.048840748713e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       3.647206282961e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       3.772588206199e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.430475473617e+04       1.491616707707e-10       1.371840413189e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.985121549152e-08       1.610025689010e+44       3.937429701143e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       4.394387001058e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       4.527105847438e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.430475473617e+04       1.502058024661e-10       1.362304283207e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.985121549152e-08       1.565722971329e+44       3.829084326512e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       5.148085464451e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       5.281623488678e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.430475473617e+04       1.512572430834e-10       1.352834442112e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.985121549152e-08       1.522639321645e+44       3.723720267383e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       5.908568118123e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       6.036141129917e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.430475473617e+04       1.523160437849e-10       1.343430429108e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.985121549152e-08       1.480741195137e+44       3.621255487561e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       6.676105259821e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       6.790658771156e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.430475473617e+04       1.533822560914e-10       1.334091786602e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.985121549152e-08       1.439995970030e+44       3.521610208226e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       7.450971146224e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       7.545176412395e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.430475473617e+04       1.544559318841e-10       1.324818060181e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       2.985121549152e-08       1.400371922191e+44       3.424706845811e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       8.233444101003e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       8.299694053634e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.430475473617e+04       1.555371234073e-10       1.315608798590e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       2.985121549152e-08       1.361838200436e+44       3.330469951600e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       9.023806624836e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       9.054211694873e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.430475473617e+04       1.566258832711e-10       1.306463553714e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       2.985121549152e-08       1.324364802505e+44       3.238826152983e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       9.822345507415e-42       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       9.808729336112e-07       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.430475473617e+04       1.577222644540e-10       1.297381880551e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       2.985121549152e-08       1.287922551705e+44       3.149704096326e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.062935194149e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.056324697735e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.430475473617e+04       1.588263203052e-10       1.288363337190e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       2.985121549152e-08       1.252483074190e+44       3.063034391418e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.144512163902e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.131776461859e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.430475473617e+04       1.599381045473e-10       1.279407484797e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       2.985121549152e-08       1.218018776871e+44       2.978749557444e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.226995494941e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.207228225983e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.430475473617e+04       1.610576712792e-10       1.270513887584e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       2.985121549152e-08       1.184502825932e+44       2.896783970443e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.310415698002e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.282679990107e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.430475473617e+04       1.621850749781e-10       1.261682112794e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       2.985121549152e-08       1.151909125938e+44       2.817073812212e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.394803771883e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.358131754231e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.430475473617e+04       1.633203705030e-10       1.252911730679e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       2.985121549152e-08       1.120212299515e+44       2.739557020621e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.480191215941e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.433583518354e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.430475473617e+04       1.644636130965e-10       1.244202314478e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       2.985121549152e-08       1.089387667592e+44       2.664173241290e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.566610042830e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.509035282478e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.430475473617e+04       1.656148583882e-10       1.235553440395e+18       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       2.985121549152e-08       1.059411230189e+44       2.590863780597e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.654092791469e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.584487046602e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.430475473617e+04       1.667741623969e-10       1.226964687582e+18       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       2.985121549152e-08       1.030259647727e+44       2.519571559978e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.742672540260e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.659938810726e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.430475473617e+04       1.679415815336e-10       1.218435638115e+18       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       2.985121549152e-08       1.001910222855e+44       2.450241071488e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.832382920555e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.735390574850e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.430475473617e+04       1.691171726044e-10       1.209965876976e+18       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       2.985121549152e-08       9.743408827823e+43       2.382818334582e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       1.923258130383e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.810842338974e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.430475473617e+04       1.703009928126e-10       1.201554992032e+18       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       2.985121549152e-08       9.475301620897e+43       2.317250854086e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.015332948434e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.886294103097e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.430475473617e+04       1.714930997623e-10       1.193202574014e+18       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       2.985121549152e-08       9.214571860169e+43       2.253487579321e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.108642748314e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       1.961745867221e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.430475473617e+04       1.726935514606e-10       1.184908216499e+18       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       2.985121549152e-08       8.961016542097e+43       2.191478864363e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.203223513070e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.037197631345e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934362e+22       1.430475473617e+04       1.739024063209e-10       1.176671515887e+18       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       2.985121549152e-08       8.714438249143e+43       2.131176429380e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.299111850005e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.112649395469e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.430475473617e+04       1.751197231651e-10       1.168492071388e+18       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       2.985121549152e-08       8.474644996064e+43       2.072533323046e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.396345005767e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.188101159593e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.430475473617e+04       1.763455612273e-10       1.160369484993e+18       3.298856590677e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       2.985121549152e-08       8.241450080431e+43       2.015503885986e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.494960881740e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.263552923716e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.430475473617e+04       1.775799801559e-10       1.152303361462e+18       3.321948586812e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       2.985121549152e-08       8.014671937265e+43       1.960043715222e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.594998049732e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.339004687840e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929123e-25       5.793481250294e-09       1.380619292058e+22       1.430475473617e+04       1.788230400169e-10       1.144293308304e+18       3.345202226919e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       2.985121549152e-08       7.794133997669e+43       1.906109629604e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.696495767968e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.414456451964e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.430475473617e+04       1.800748012971e-10       1.136338935754e+18       3.368618642508e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       2.985121549152e-08       7.579664551354e+43       1.853659636186e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.799493997394e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.489908216088e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.430475473617e+04       1.813353249061e-10       1.128439856757e+18       3.392198973005e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       2.985121549152e-08       7.371096612945e+43       1.802652897536e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       2.904033418309e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.565359980212e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832009e+22       1.430475473617e+04       1.826046721805e-10       1.120595686948e+18       3.415944365816e-09       1.036222920661e+44       1.178468853932e+33       6.439001481313e+33       2.985121549152e-08       7.168267791965e+43       1.753049699934e+44       5.095606713789e-07      -5.095606713789e-07      -1.000000000000e+00       1.575000000000e+01       3.010155447319e-41       1.528682014137e-06      -2.214338910651e-04       2.581222594043e-02       2.640811744335e-06       4.095901758751e+00 
