# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       7.585539684582e+02       4.794623275204e-08       3.211205131154e-03 
    3       6.990899639498e+02       5.992835285456e-08       3.187703283774e-03 
    4       6.502177752636e+02       6.970446153479e-08       3.102424166014e-03 
    5       6.157307230090e+02       7.816896362755e-08       2.997577763487e-03 
    6       5.935299004229e+02       8.552883015932e-08       2.885366157795e-03 
    7       5.808650100529e+02       9.197721586979e-08       2.771893196580e-03 
    8       5.755375588705e+02       9.772615583675e-08       2.660918393169e-03 
    9       5.758867785906e+02       1.029334309089e-07       2.554724688578e-03 
   10       5.804781248383e+02       1.076618535543e-07       2.454529881984e-03 
   11       5.884854293713e+02       1.087257332750e-07       2.365917287779e-03 
   12       5.990769706567e+02       1.123261891161e-07       2.274012762761e-03 
   13       6.116751900444e+02       1.155570347580e-07       2.193106378283e-03 
   14       6.256570371857e+02       1.184586765346e-07       2.112092579870e-03 
   15       6.410252343236e+02       1.210652739644e-07       2.039545008366e-03 
   16       6.574449269545e+02       1.234075155537e-07       1.973010539871e-03 
   17       6.746648498298e+02       1.255112462658e-07       1.910497882153e-03 
   18       6.924912735046e+02       1.273494053770e-07       1.849797719812e-03 
   19       7.109472678958e+02       1.290889082250e-07       1.792660930731e-03 
   20       7.298696446063e+02       1.305921139545e-07       1.738172004771e-03 
   21       7.492771168045e+02       1.319449694481e-07       1.686445695157e-03 
   22       7.690946581696e+02       1.331231214909e-07       1.635528826454e-03 
   23       7.892831702112e+02       1.341956146636e-07       1.585971507711e-03 
   24       8.097270887360e+02       1.351148346044e-07       1.537905200332e-03 
   25       8.304726396399e+02       1.359344410691e-07       1.492900349834e-03 
   26       8.515265467982e+02       1.366331804553e-07       1.451724679165e-03 
   27       8.727904041067e+02       1.372375494105e-07       1.413411609847e-03 
   28       8.941021240793e+02       1.377118285456e-07       1.375631477200e-03 
   29       9.155106211515e+02       1.381280703029e-07       1.338987145874e-03 
   30       9.370881832136e+02       1.385064360020e-07       1.304501353696e-03 
   31       9.588593526581e+02       1.387681311644e-07       1.272446877581e-03 
   32       9.808346811335e+02       1.389572703919e-07       1.242651825052e-03 
   33       1.002976479273e+03       1.391017503530e-07       1.213991576492e-03 
   34       1.025218808697e+03       1.391657144453e-07       1.184794157723e-03 
   35       1.047593334255e+03       1.391805327021e-07       1.155473232766e-03 
