# Matter power spectrum P(k) at redshift z=0
# for k=1.0451e-05 to 0.63011 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045100716998e-05       3.104070008131e+04 
       2.338664809529e-05       3.648130745328e+03 
       3.636804944193e-05       1.486577202585e+03 
       4.943043635587e-05       9.693402071038e+02 
       6.260962048744e-05       7.921534200427e+02 
       7.594232202044e-05       7.266411683991e+02 
       8.946650206805e-05       7.112604204821e+02 
       1.032217098918e-04       7.203067200796e+02 
       1.172494494331e-04       7.441268679115e+02 
       1.315935696819e-04       7.786660096637e+02 
       1.463006834104e-04       8.201693757358e+02 
       1.614206187351e-04       8.676185951308e+02 
       1.770069077817e-04       9.190763845536e+02 
       1.931173163324e-04       9.752617523065e+02 
       2.098144176418e-04       1.035450630431e+03 
       2.271662124663e-04       1.099258389590e+03 
       2.452467955956e-04       1.167232056997e+03 
       2.641370665614e-04       1.239206799325e+03 
       2.839254784523e-04       1.315481868949e+03 
       3.047088135257e-04       1.396064799144e+03 
       3.265929671920e-04       1.481489769134e+03 
       3.496937125223e-04       1.572133183448e+03 
       3.741374053191e-04       1.668242776120e+03 
       4.000615747343e-04       1.770586419808e+03 
       4.276153264790e-04       1.879333396533e+03 
       4.569594654590e-04       1.995171284814e+03 
       4.882662236935e-04       2.118726838036e+03 
       5.217184604284e-04       2.250539397281e+03 
       5.575081888907e-04       2.391317560838e+03 
       5.958342844452e-04       2.541702733925e+03 
       6.368992498222e-04       2.702316703475e+03 
       6.809049628102e-04       2.873835926759e+03 
       7.280474166875e-04       3.056798966179e+03 
       7.785105847096e-04       3.251693156841e+03 
       8.324596888871e-04       3.458959262223e+03 
       8.900343095635e-04       3.678816750377e+03 
       9.513419034955e-04       3.911394145612e+03 
       1.016452365654e-03       4.156708304754e+03 
       1.085394240331e-03       4.414475547681e+03 
       1.158153045957e-03       4.684234947000e+03 
       1.234671940225e-03       4.965456027363e+03 
       1.314854662455e-03       5.257468532491e+03 
       1.398570410952e-03       5.545965578972e+03 
       1.485660104259e-03       5.834222046143e+03 
       1.575943374431e-03       6.129697343094e+03 
       1.669225653543e-03       6.425184762863e+03 
       1.765304818858e-03       6.720748569802e+03 
       1.863977018285e-03       7.037663352159e+03 
       1.965041465462e-03       7.419188953371e+03 
       2.068304142057e-03       7.753788648492e+03 
       2.173580456684e-03       8.033926288324e+03 
       2.280696980868e-03       8.319293118832e+03 
       2.389492417397e-03       8.608455021700e+03 
       2.499817963901e-03       8.891194285695e+03 
       2.611537224081e-03       9.163284181508e+03 
       2.724525798898e-03       9.424233367147e+03 
       2.838670666233e-03       9.672831509151e+03 
       2.953869433925e-03       9.913182939030e+03 
       3.070029529987e-03       1.016151368364e+04 
       3.187067375987e-03       1.045346038294e+04 
       3.304907575310e-03       1.083024674069e+04 
       3.423482137073e-03       1.125660237176e+04 
       3.542729748180e-03       1.161311891674e+04 
       3.662595100156e-03       1.186629806861e+04 
       3.783028273155e-03       1.206021635010e+04 
       3.903984176796e-03       1.223588532621e+04 
       4.025422045638e-03       1.240960902963e+04 
       4.147304986009e-03       1.258445380763e+04 
       4.269599570348e-03       1.275586224276e+04 
       4.392275474969e-03       1.292038310170e+04 
       4.515305157153e-03       1.307418922855e+04 
