# Matter power spectrum P(k) at redshift z=0
# for k=1.04656e-05 to 0.630317 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.373749570527e-02       2.209456963305e+04 
       1.386823829542e-02       2.213495307042e+04 
       1.399901739873e-02       2.217310746238e+04 
       1.412983314967e-02       2.220962171283e+04 
       1.426068570557e-02       2.224365849343e+04 
       1.439157524627e-02       2.227619692385e+04 
       1.452250197381e-02       2.230685979186e+04 
       1.465346611215e-02       2.233580439107e+04 
       1.478446790695e-02       2.236292453209e+04 
       1.491550762530e-02       2.238825586786e+04 
       1.504658555561e-02       2.241182985638e+04 
       1.517770200738e-02       2.243207357356e+04 
       1.530885731111e-02       2.245215733648e+04 
       1.544005181817e-02       2.247044353638e+04 
       1.557128590074e-02       2.248700273593e+04 
       1.570255995172e-02       2.250170191852e+04 
       1.583387438473e-02       2.251550207585e+04 
       1.596522963406e-02       2.252703294381e+04 
       1.609662615471e-02       2.253652530285e+04 
       1.622806442238e-02       2.254485934277e+04 
       1.635954493357e-02       2.255243401414e+04 
       1.649106820557e-02       2.255939652405e+04 
       1.662263477664e-02       2.256343287114e+04 
       1.675424520605e-02       2.256423720932e+04 
       1.688590007420e-02       2.256515124854e+04 
       1.701759998282e-02       2.256583731175e+04 
       1.714934555508e-02       2.256388140563e+04 
       1.728113743576e-02       2.256098292996e+04 
       1.741297629150e-02       2.255559821188e+04 
       1.754486281096e-02       2.254833828460e+04 
       1.767679770505e-02       2.254044941480e+04 
       1.780878170721e-02       2.253173137360e+04 
       1.794081557365e-02       2.252149391338e+04 
       1.807290008363e-02       2.250985581892e+04 
       1.820503603976e-02       2.249696750883e+04 
       1.833722426830e-02       2.248260406611e+04 
       1.846946561951e-02       2.246699189139e+04 
       1.860176096798e-02       2.245128050979e+04 
       1.873411121299e-02       2.243339623677e+04 
       1.886651727890e-02       2.241421718589e+04 
       1.899898011556e-02       2.239628760341e+04 
       1.913150069869e-02       2.237516214417e+04 
       1.926408003032e-02       2.235213783498e+04 
       1.939671913926e-02       2.232861598411e+04 
       1.952941908156e-02       2.230343428076e+04 
       1.966218094098e-02       2.227772079734e+04 
       1.979500582948e-02       2.225160188148e+04 
       1.992789488780e-02       2.222290582088e+04 
       2.006084928593e-02       2.219416642558e+04 
       2.019387022373e-02       2.216434678760e+04 
       2.032695893146e-02       2.213527775800e+04 
       2.046011667041e-02       2.210320624957e+04 
       2.059334473351e-02       2.207087978036e+04 
       2.072664444597e-02       2.203534292001e+04 
       2.086001716594e-02       2.200234323291e+04 
       2.099346428521e-02       2.196505903026e+04 
       2.112698722988e-02       2.192853006522e+04 
       2.126058746114e-02       2.189115543348e+04 
       2.139426647597e-02       2.185283997548e+04 
       2.152802580795e-02       2.181457609750e+04 
       2.166186702806e-02       2.177522703902e+04 
       2.179579174549e-02       2.173282274413e+04 
       2.192980160851e-02       2.169159236340e+04 
       2.206389830533e-02       2.164900616610e+04 
       2.219808356502e-02       2.160619793943e+04 
       2.233235915846e-02       2.156185184278e+04 
       2.246672689928e-02       2.151714519234e+04 
       2.260118864485e-02       2.147213314360e+04 
       2.273574629735e-02       2.142699242071e+04 
       2.287040180477e-02       2.137931457684e+04 
       2.300515716204e-02       2.133182769324e+04 
       2.314001441216e-02       2.128505498787e+04 
       2.327497564732e-02       2.123421859967e+04 
       2.341004301013e-02       2.118624568514e+04 
       2.354521869487e-02       2.113553164431e+04 
       2.368050494869e-02       2.108400351626e+04 
       2.381590407301e-02       2.103454715910e+04 
       2.395141842484e-02       2.098011897424e+04 
       2.408705041814e-02       2.092914764953e+04 
       2.422280252532e-02       2.087628475570e+04 
       2.435867727871e-02       2.082265745597e+04 
       2.449467727207e-02       2.076845936739e+04 
       2.463080516220e-02       2.071377984754e+04 
       2.476706367057e-02       2.065941964355e+04 
       2.490345558501e-02       2.060301487169e+04 
       2.503998376145e-02       2.054675672241e+04 
       2.517665112573e-02       2.048921808058e+04 
       2.531346067543e-02       2.043409568389e+04 
       2.545041548183e-02       2.037380503938e+04 
       2.558751869188e-02       2.031591044604e+04 
       2.572477353023e-02       2.025886566914e+04 
       2.586218330139e-02       2.020005191805e+04 
       2.599975139189e-02       2.014077331492e+04 
       2.613748127253e-02       2.008106147138e+04 
       2.627537650079e-02       2.002098826466e+04 
       2.641344072316e-02       1.996069449916e+04 
       2.655167767774e-02       1.990033974165e+04 
       2.669009119674e-02       1.983779063039e+04 
       2.682868520924e-02       1.977737380325e+04 
       2.696746374393e-02       1.971434521629e+04 
       2.710643093199e-02       1.965335801948e+04 
       2.724559101007e-02       1.959017810061e+04 
       2.738494832337e-02       1.952713965713e+04 
       2.752450732885e-02       1.946466809658e+04 
       2.766427259852e-02       1.939906182048e+04 
       2.780424882288e-02       1.933603743816e+04 
       2.794444081451e-02       1.927242372832e+04 
       2.808485351168e-02       1.920785816228e+04 
       2.822549198229e-02       1.914377507031e+04 
       2.836636142773e-02       1.907807890387e+04 
       2.850746718710e-02       1.901339394224e+04 
       2.864881474140e-02       1.894803512453e+04 
       2.879040971806e-02       1.888321480968e+04 
       2.893225789547e-02       1.881656393050e+04 
       2.907436520786e-02       1.875217278859e+04 
       2.921673775023e-02       1.868616429122e+04 
       2.935938178353e-02       1.861934111840e+04 
       2.950230374010e-02       1.855285082761e+04 
       2.964551022920e-02       1.848722257243e+04 
       2.978900804291e-02       1.842053057886e+04 
       2.993280416219e-02       1.835312129927e+04 
       3.007690576315e-02       1.828600574110e+04 
       3.022132022372e-02       1.822048225330e+04 
       3.036605513041e-02       1.815191937427e+04 
       3.051111828558e-02       1.808476407540e+04 
       3.065651771478e-02       1.801713584169e+04 
       3.080226167461e-02       1.794916822070e+04 
       3.094835866079e-02       1.788157982520e+04 
       3.109481741666e-02       1.781390218569e+04 
       3.124164694198e-02       1.774542071562e+04 
       3.138885650223e-02       1.767799624613e+04 
       3.153645563820e-02       1.760993825683e+04 
       3.168445417612e-02       1.754181409595e+04 
       3.183286223817e-02       1.747484365324e+04 
       3.198169025359e-02       1.740544023265e+04 
       3.213094897016e-02       1.733753590398e+04 
       3.228064946634e-02       1.726986374258e+04 
       3.243080316391e-02       1.720175153439e+04 
       3.258142184128e-02       1.713231177145e+04 
       3.273251764740e-02       1.706311319698e+04 
       3.288410311637e-02       1.699477226411e+04 
       3.303619118272e-02       1.692622046325e+04 
       3.318879519757e-02       1.685787643211e+04 
       3.334192894546e-02       1.679011201425e+04 
       3.349560666214e-02       1.672063471524e+04 
       3.364984305323e-02       1.665204561728e+04 
       3.380465331385e-02       1.658424151437e+04 
       3.396005314932e-02       1.651523959426e+04 
       3.411605879687e-02       1.644769814530e+04 
       3.427268704859e-02       1.637897863475e+04 
       3.442995527561e-02       1.631015501274e+04 
       3.458788145358e-02       1.624216228593e+04 
       3.474648418957e-02       1.617366171662e+04 
       3.490578275046e-02       1.610500435367e+04 
       3.506579709297e-02       1.603626826470e+04 
       3.522654789537e-02       1.596769963171e+04 
       3.538805659104e-02       1.589906200472e+04 
       3.555034540399e-02       1.582980596986e+04 
       3.571343738648e-02       1.576137335906e+04 
       3.587735645889e-02       1.569402460168e+04 
       3.604212745204e-02       1.562572802342e+04 
       3.620777615198e-02       1.555737768091e+04 
       3.637432934776e-02       1.548902416296e+04 
       3.654181488198e-02       1.541965426442e+04 
       3.671026170475e-02       1.535156679937e+04 
       3.687969993096e-02       1.528331641645e+04 
       3.705016090135e-02       1.521611197044e+04 
       3.722167724767e-02       1.514767886279e+04 
       3.739428296207e-02       1.507882547517e+04 
       3.756801347128e-02       1.501110606402e+04 
       3.774290571584e-02       1.494285184876e+04 
       3.791899823486e-02       1.487487709871e+04 
       3.809633125674e-02       1.480727029419e+04 
       3.827494679635e-02       1.473884094960e+04 
       3.845488875932e-02       1.467147322738e+04 
       3.863620305387e-02       1.460398065475e+04 
       3.881893771114e-02       1.453559721805e+04 
       3.900314301440e-02       1.446769303433e+04 
       3.918887163838e-02       1.439995143578e+04 
       3.937617879932e-02       1.433268698088e+04 
       3.956512241687e-02       1.426388282055e+04 
       3.975576328904e-02       1.419707223879e+04 
       3.994816528138e-02       1.412978864319e+04 
       4.014239553173e-02       1.406093548062e+04 
       4.033852467232e-02       1.399388147070e+04 
       4.053662707070e-02       1.392614285950e+04 
       4.073678109166e-02       1.385825410948e+04 
       4.093906938227e-02       1.379049222670e+04 
       4.114357918243e-02       1.372303785688e+04 
       4.135040266386e-02       1.365597400152e+04 
       4.155963730048e-02       1.358713713404e+04 
       4.177138627387e-02       1.351943714418e+04 
       4.198575891770e-02       1.345171519224e+04 
       4.220287120571e-02       1.338531827851e+04 
       4.242284628843e-02       1.331622011308e+04 
       4.264581508441e-02       1.324860692785e+04 
       4.287191693276e-02       1.318069838305e+04 
       4.310130031468e-02       1.311261037755e+04 
       4.333412365267e-02       1.304513006086e+04 
       4.357055619768e-02       1.297633365598e+04 
       4.381077901578e-02       1.290888656105e+04 
       4.405498608786e-02       1.283968678186e+04 
       4.430338553808e-02       1.277191498699e+04 
       4.455620100908e-02       1.270237653846e+04 
       4.481367320535e-02       1.263452432440e+04 
       4.507606162941e-02       1.256445659214e+04 
       4.534364653992e-02       1.249647515517e+04 
       4.561673116596e-02       1.242579339374e+04 
       4.589564421792e-02       1.235612855598e+04 
       4.618074274281e-02       1.228703998693e+04 
       4.647241538103e-02       1.221626870111e+04 
       4.677108609250e-02       1.214575431995e+04 
       4.707721843365e-02       1.207579286828e+04 
       4.739132048314e-02       1.200465150124e+04 
       4.771395053469e-02       1.193195641799e+04 
       4.804572370035e-02       1.186003703301e+04 
       4.838731959887e-02       1.178795615070e+04 
       4.873949134284e-02       1.171535222484e+04 
       4.910307608671e-02       1.164168599192e+04 
       4.947900745951e-02       1.156764009916e+04 
       4.986833028287e-02       1.149277480414e+04 
       5.027221807338e-02       1.141714920263e+04 
       5.069199395222e-02       1.134050130263e+04 
       5.112915574355e-02       1.126465195165e+04 
       5.158540624474e-02       1.118586114449e+04 
       5.206268990896e-02       1.110627085642e+04 
       5.256323750712e-02       1.102584382775e+04 
       5.308962074954e-02       1.094340255172e+04 
       5.364481936342e-02       1.086067453287e+04 
       5.423230375338e-02       1.077481837302e+04 
       5.485613711680e-02       1.068822853291e+04 
       5.552110170424e-02       1.059734495853e+04 
       5.623285468670e-02       1.050523640027e+04 
       5.699811952417e-02       1.040951400106e+04 
       5.782491818766e-02       1.030910952580e+04 
       5.872284677616e-02       1.020580921660e+04 
       5.970338948673e-02       1.009410511909e+04 
       6.078024897490e-02       9.976661056924e+03 
       6.196963723152e-02       9.848822631810e+03 
       6.329040924938e-02       9.709913548947e+03 
       6.476382162618e-02       9.554871978246e+03 
       6.641256641328e-02       9.379847372791e+03 
       6.825863162106e-02       9.178925831084e+03 
       7.031965857944e-02       8.944583695705e+03 
       7.260409879939e-02       8.671152754306e+03 
       7.510670885911e-02       8.353870124512e+03 
       7.780697715484e-02       7.992995240838e+03 
       8.067233244361e-02       7.593183359770e+03 
       8.366508312807e-02       7.167298303968e+03 
       8.674957563134e-02       6.731030999024e+03 
       8.989660890729e-02       6.301644715262e+03 
       9.308459989054e-02       5.894893047901e+03 
       9.629868477208e-02       5.523910466547e+03 
       9.952909633767e-02       5.196277583104e+03 
       1.027696074748e-01       4.916705883574e+03 
       1.060163229340e-01       4.683634953073e+03 
       1.092668346881e-01       4.494179236744e+03 
       1.125196647893e-01       4.341402432287e+03 
       1.157739100419e-01       4.218015999099e+03 
       1.190290198651e-01       4.114264354240e+03 
       1.222846590678e-01       4.020329468479e+03 
       1.255406236857e-01       3.929214310488e+03 
       1.287967895844e-01       3.833261805352e+03 
       1.320530811530e-01       3.727705493865e+03 
       1.353094522660e-01       3.610049683807e+03 
       1.385658747149e-01       3.480190064993e+03 
       1.418223311819e-01       3.339608158383e+03 
       1.450788109750e-01       3.192399042771e+03 
       1.483353074366e-01       3.042346353990e+03 
       1.515918163714e-01       2.894344832462e+03 
       1.548483350899e-01       2.753383337002e+03 
       1.581048618278e-01       2.623201696549e+03 
       1.613613953924e-01       2.506057214167e+03 
       1.646179349469e-01       2.403700194677e+03 
       1.678744798791e-01       2.316041713285e+03 
       1.711310297208e-01       2.243113382021e+03 
       1.743875840979e-01       2.181795938940e+03 
       1.776441427001e-01       2.131085906537e+03 
       1.809007052615e-01       2.087168516119e+03 
       1.841572715486e-01       2.048015099803e+03 
       1.874138413523e-01       2.010508873081e+03 
       1.906704144828e-01       1.972652090041e+03 
       1.939269907663e-01       1.932329883883e+03 
       1.971835700422e-01       1.887886380593e+03 
       2.004401521619e-01       1.839030283739e+03 
       2.036967369866e-01       1.785697578873e+03 
       2.069533243870e-01       1.728795189734e+03 
       2.102099142422e-01       1.670028954448e+03 
       2.134665064386e-01       1.610978112522e+03 
       2.167231008698e-01       1.553053715777e+03 
       2.199796974357e-01       1.497733665332e+03 
       2.232362960422e-01       1.446318465696e+03 
       2.264928966006e-01       1.399398735476e+03 
       2.297494990272e-01       1.357101123893e+03 
       2.330061032432e-01       1.319571768815e+03 
       2.362627091741e-01       1.286907281653e+03 
       2.395193167494e-01       1.258113323727e+03 
       2.427759259026e-01       1.232835482368e+03 
       2.460325365705e-01       1.209854732355e+03 
       2.492891486934e-01       1.188601239846e+03 
       2.525457622147e-01       1.168006813290e+03 
       2.558023770806e-01       1.147238231161e+03 
       2.590589932402e-01       1.125717046567e+03 
       2.623156106448e-01       1.103298582424e+03 
       2.655722292485e-01       1.079600081075e+03 
       2.688288490073e-01       1.054477965559e+03 
       2.720854698796e-01       1.028712198280e+03 
       2.753420918257e-01       1.002247728996e+03 
       2.785987148076e-01       9.757750068247e+02 
       2.818553387893e-01       9.495583710591e+02 
       2.851119637362e-01       9.241338580707e+02 
       2.883685896156e-01       8.999432178594e+02 
       2.916252163959e-01       8.773065111335e+02 
       2.948818440473e-01       8.563293897716e+02 
       2.981384725409e-01       8.371877327270e+02 
       3.013951018493e-01       8.198385237017e+02 
       3.046517319463e-01       8.038276292452e+02 
       3.079083628068e-01       7.892032873900e+02 
       3.111649944065e-01       7.754746009466e+02 
       3.144216267225e-01       7.623018489151e+02 
       3.176782597325e-01       7.495821704725e+02 
       3.209348934154e-01       7.370232988652e+02 
       3.241915277508e-01       7.243096501999e+02 
       3.274481627191e-01       7.115408152966e+02 
       3.307047983015e-01       6.984514031442e+02 
       3.339614344800e-01       6.850494881192e+02 
       3.372180712372e-01       6.713984449275e+02 
       3.404747085564e-01       6.576609065025e+02 
       3.437313464216e-01       6.439949475100e+02 
       3.469879848173e-01       6.304817554247e+02 
       3.502446237288e-01       6.174117157327e+02 
       3.535012631415e-01       6.046430778216e+02 
       3.567579030418e-01       5.925069387217e+02 
       3.600145434164e-01       5.809654829361e+02 
       3.632711842525e-01       5.701451433290e+02 
       3.665278255376e-01       5.597959630890e+02 
       3.697844672599e-01       5.500748977019e+02 
       3.730411094079e-01       5.408739805573e+02 
       3.762977519705e-01       5.321096807088e+02 
       3.795543949370e-01       5.236734045960e+02 
       3.828110382970e-01       5.154799041630e+02 
       3.860676820405e-01       5.073984638917e+02 
       3.893243261578e-01       4.993917888935e+02 
       3.925809706397e-01       4.914655657683e+02 
       3.958376154770e-01       4.834682697218e+02 
       3.990942606611e-01       4.754991521334e+02 
       4.023509061835e-01       4.675435527765e+02 
       4.056075520359e-01       4.596283450899e+02 
       4.088641982106e-01       4.517810783235e+02 
       4.121208446997e-01       4.440376570767e+02 
       4.153774914960e-01       4.364471173992e+02 
       4.186341385922e-01       4.290342894530e+02 
       4.218907859812e-01       4.218434918163e+02 
       4.251474336565e-01       4.148997878417e+02 
       4.284040816114e-01       4.082123232152e+02 
       4.316607298395e-01       4.017750782421e+02 
       4.349173783347e-01       3.955707839664e+02 
       4.381740270911e-01       3.895990076267e+02 
       4.414306761028e-01       3.838028471233e+02 
       4.446873253641e-01       3.781411620272e+02 
       4.479439748697e-01       3.726305126599e+02 
       4.512006246143e-01       3.672582551705e+02 
       4.544572745926e-01       3.619874151035e+02 
       4.577139247996e-01       3.567903491489e+02 
       4.609705752306e-01       3.516614198876e+02 
       4.642272258807e-01       3.465814537206e+02 
       4.674838767454e-01       3.415463136403e+02 
       4.707405278202e-01       3.365600502620e+02 
       4.739971791007e-01       3.316387992371e+02 
       4.772538305828e-01       3.267816131260e+02 
       4.805104822623e-01       3.220058389319e+02 
       4.837671341352e-01       3.173190241637e+02 
       4.870237861976e-01       3.127270666361e+02 
       4.902804384458e-01       3.082355406394e+02 
       4.935370908760e-01       3.038503044506e+02 
       4.967937434846e-01       2.995774018506e+02 
       5.000503962683e-01       2.954206930623e+02 
       5.033070492234e-01       2.913805240707e+02 
       5.065637023468e-01       2.874509396850e+02 
       5.098203556352e-01       2.836215218476e+02 
       5.130770090855e-01       2.798788932049e+02 
       5.163336626945e-01       2.762098080359e+02 
       5.195903164593e-01       2.726043079971e+02 
       5.228469703769e-01       2.690552493468e+02 
       5.261036244446e-01       2.655586677072e+02 
       5.293602786595e-01       2.621121172047e+02 
       5.326169330189e-01       2.587132060922e+02 
       5.358735875202e-01       2.553592275209e+02 
       5.391302421608e-01       2.520479531238e+02 
       5.423868969382e-01       2.487799923925e+02 
       5.456435518499e-01       2.455589189291e+02 
       5.489002068936e-01       2.423895046031e+02 
       5.521568620668e-01       2.392777988743e+02 
       5.554135173674e-01       2.362282869376e+02 
       5.586701727930e-01       2.332437401331e+02 
       5.619268283415e-01       2.303222969096e+02 
       5.651834840107e-01       2.274609877693e+02 
       5.684401397987e-01       2.246556654244e+02 
       5.716967957033e-01       2.219041551135e+02 
       5.749534517225e-01       2.192045233559e+02 
       5.782101078545e-01       2.165560809668e+02 
       5.814667640972e-01       2.139571773796e+02 
       5.847234204490e-01       2.114053477067e+02 
       5.879800769078e-01       2.088959275010e+02 
       5.912367334721e-01       2.064255682921e+02 
       5.944933901399e-01       2.039892877135e+02 
       5.977500469097e-01       2.015865842216e+02 
       6.010067037798e-01       1.992172907991e+02 
       6.042633607485e-01       1.968829816177e+02 
       6.075200178143e-01       1.945849756913e+02 
       6.107766749756e-01       1.923237748469e+02 
       6.140333322308e-01       1.900981408249e+02 
       6.172899895785e-01       1.879068374319e+02 
       6.205466470173e-01       1.857485471809e+02 
       6.238033045456e-01       1.836229702765e+02 
       6.270599621622e-01       1.815316070185e+02 
       6.303166198656e-01       1.794759609105e+02 
