# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
   89       2.381264364184e+03       1.194323140883e-07       4.765986900124e-04 
   90       2.413845378796e+03       1.187216250960e-07       4.706640732157e-04 
   91       2.446648347562e+03       1.180157293516e-07       4.648614534786e-04 
   92       2.479667054023e+03       1.173078954618e-07       4.591667900045e-04 
   93       2.512895242008e+03       1.165912310594e-07       4.535566533924e-04 
   94       2.546331516218e+03       1.158687743797e-07       4.480383868492e-04 
   95       2.579975062619e+03       1.151457595192e-07       4.426255772665e-04 
   96       2.613824106246e+03       1.144266177513e-07       4.373289313136e-04 
   97       2.647875868055e+03       1.137148356283e-07       4.321559990422e-04 
   98       2.682126521779e+03       1.130128050225e-07       4.271108901315e-04 
   99       2.716571150785e+03       1.123216649335e-07       4.221939827746e-04 
  100       2.751203704927e+03       1.116411348880e-07       4.174016252051e-04 
  101       2.786016957401e+03       1.109693397610e-07       4.127258298650e-04 
  102       2.821002461602e+03       1.103026258439e-07       4.081539602131e-04 
  103       2.856150507976e+03       1.096353679872e-07       4.036684101744e-04 
  104       2.891451762899e+03       1.089620566240e-07       3.992523472389e-04 
  105       2.926902530362e+03       1.082846645545e-07       3.949089979364e-04 
  106       2.962500123938e+03       1.076068729394e-07       3.906456466115e-04 
  107       2.998241223865e+03       1.069318790651e-07       3.864677603564e-04 
  108       3.034121852389e+03       1.062623189427e-07       3.823788394706e-04 
  109       3.070137349101e+03       1.056001859574e-07       3.783802643919e-04 
  110       3.106282346276e+03       1.049467454909e-07       3.744711390989e-04 
  111       3.142550744213e+03       1.043024454406e-07       3.706481309841e-04 
  112       3.178935686572e+03       1.036668225612e-07       3.669053071998e-04 
  113       3.215429535714e+03       1.030384045504e-07       3.632339674732e-04 
  114       3.252023848040e+03       1.024146078037e-07       3.596224733951e-04 
  115       3.288709349329e+03       1.017916307625e-07       3.560560741781e-04 
  116       3.325476921720e+03       1.011658518467e-07       3.525212683611e-04 
  117       3.362320753511e+03       1.005386608480e-07       3.490201841717e-04 
  118       3.399235527791e+03       9.991258283854e-08       3.455584815935e-04 
  119       3.436215429514e+03       9.928982788377e-08       3.421409768217e-04 
  120       3.473254129783e+03       9.867224685283e-08       3.387715749240e-04 
  121       3.510344770139e+03       9.806128521411e-08       3.354532010406e-04 
  122       3.547479946837e+03       9.745793478131e-08       3.321877301227e-04 
  123       3.584651695134e+03       9.686268337511e-08       3.289759152087e-04 
  124       3.621851473572e+03       9.627546236569e-08       3.258173142402e-04 
  125       3.659070148261e+03       9.569559206121e-08       3.227102154149e-04 
  126       3.696297977163e+03       9.512172490754e-08       3.196515610796e-04 
  127       3.733524594374e+03       9.455178646428e-08       3.166368701603e-04 
  128       3.770738994410e+03       9.398291412234e-08       3.136601591313e-04 
  129       3.807930470830e+03       9.341246548995e-08       3.107160291995e-04 
  130       3.845091581920e+03       9.284143634787e-08       3.078064922274e-04 
  131       3.882215482162e+03       9.227166648510e-08       3.049351138732e-04 
  132       3.919294988256e+03       9.170480923428e-08       3.021049071821e-04 
  133       3.956322570232e+03       9.114230728118e-08       2.993182942175e-04 
  134       3.993290342562e+03       9.058536747504e-08       2.965770669515e-04 
  135       4.030190055273e+03       9.003493462413e-08       2.938823474111e-04 
  136       4.067013085061e+03       8.949166426103e-08       2.912345470824e-04 
  137       4.103750426399e+03       8.895589436202e-08       2.886333255713e-04 
  138       4.140392682654e+03       8.842761600481e-08       2.860775485218e-04 
  139       4.176930057197e+03       8.790644294923e-08       2.835652447911e-04 
  140       4.213352344518e+03       8.739158012511e-08       2.810935628824e-04 
  141       4.249648921335e+03       8.688179101177e-08       2.786587266336e-04 
  142       4.285808737707e+03       8.637536389365e-08       2.762559901651e-04 
  143       4.321820308150e+03       8.587007697620e-08       2.738795920824e-04 
  144       4.357672476466e+03       8.536392983877e-08       2.715243920607e-04 
  145       4.393356813981e+03       8.485758043892e-08       2.691911544218e-04 
  146       4.428865441948e+03       8.435231685670e-08       2.668819565028e-04 
  147       4.464190274658e+03       8.384931902502e-08       2.645985551123e-04 
  148       4.499323014996e+03       8.334964586248e-08       2.623423668430e-04 
  149       4.534255150000e+03       8.285422192713e-08       2.601144480423e-04 
  150       4.568977946424e+03       8.236382358438e-08       2.579154744427e-04 
  151       4.603482446293e+03       8.187906468244e-08       2.557457204502e-04 
  152       4.637759462465e+03       8.140038172844e-08       2.536050380920e-04 
  153       4.671799574187e+03       8.092801855856e-08       2.514928356224e-04 
  154       4.705593122658e+03       8.046201049545e-08       2.494080557881e-04 
  155       4.739130206584e+03       8.000216798612e-08       2.473491537522e-04 
  156       4.772400677742e+03       7.954805971366e-08       2.453140746764e-04 
  157       4.805394136534e+03       7.909899517601e-08       2.433002309629e-04 
  158       4.838099927550e+03       7.865400672505e-08       2.413044791543e-04 
  159       4.870507135123e+03       7.821183105926e-08       2.393230964925e-04 
  160       4.902604578894e+03       7.777089016324e-08       2.373517571370e-04 
  161       4.934381470748e+03       7.732979163326e-08       2.353867711609e-04 
  162       4.965829460257e+03       7.688897231304e-08       2.334290383206e-04 
  163       4.996940762475e+03       7.644930620910e-08       2.314805723157e-04 
  164       5.027707511442e+03       7.601160319724e-08       2.295432765204e-04 
  165       5.058121758782e+03       7.557660216758e-08       2.276189363623e-04 
  166       5.088175472308e+03       7.514496394074e-08       2.257092115745e-04 
  167       5.117860534624e+03       7.471726395258e-08       2.238156283231e-04 
  168       5.147168741725e+03       7.429398470442e-08       2.219395712097e-04 
  169       5.176091801599e+03       7.387550797589e-08       2.200822751476e-04 
  170       5.204621332834e+03       7.346210679760e-08       2.182448171139e-04 
  171       5.232748863211e+03       7.305393718063e-08       2.164281077750e-04 
  172       5.260465828317e+03       7.265102960007e-08       2.146328829882e-04 
  173       5.287763570136e+03       7.225328022971e-08       2.128596951766e-04 
  174       5.314633335660e+03       7.186044192484e-08       2.111089045800e-04 
  175       5.341066275487e+03       7.147211495056e-08       2.093806703794e-04 
  176       5.367053442423e+03       7.108773745249e-08       2.076749416968e-04 
  177       5.392585790084e+03       7.070657566700e-08       2.059914484698e-04 
  178       5.417654171501e+03       7.032771386831e-08       2.043296922002e-04 
  179       5.442249337716e+03       6.995004404927e-08       2.026889365781e-04 
  180       5.466362469189e+03       6.957260435933e-08       2.010685386203e-04 
  181       5.489986820147e+03       6.919567771683e-08       1.994690065077e-04 
  182       5.513116202559e+03       6.881984629412e-08       1.978910493197e-04 
  183       5.535744465642e+03       6.844565417822e-08       1.963352415206e-04 
  184       5.557865496430e+03       6.807360373604e-08       1.948020168043e-04 
  185       5.579473220334e+03       6.770415187121e-08       1.932916618554e-04 
  186       5.600561601707e+03       6.733770617108e-08       1.918043100268e-04 
  187       5.621124644412e+03       6.697462094285e-08       1.903399349332e-04 
  188       5.641156392383e+03       6.661519313740e-08       1.888983439614e-04 
  189       5.660650930191e+03       6.625965815981e-08       1.874791716974e-04 
  190       5.679602383607e+03       6.590818556514e-08       1.860818732689e-04 
  191       5.698004920169e+03       6.556087463839e-08       1.847057176050e-04 
  192       5.715852749745e+03       6.521774985743e-08       1.833497806121e-04 
  193       5.733140125096e+03       6.487875623747e-08       1.820129382662e-04 
  194       5.749861342443e+03       6.454375455610e-08       1.806938596215e-04 
  195       5.766010742031e+03       6.421251645754e-08       1.793909997353e-04 
  196       5.781582708693e+03       6.388471943485e-08       1.781025925097e-04 
  197       5.796571672414e+03       6.355994168898e-08       1.768266434494e-04 
  198       5.810972108895e+03       6.323765686332e-08       1.755609223361e-04 
  199       5.824778540119e+03       6.291722865264e-08       1.743029558190e-04 
  200       5.837985534918e+03       6.259790528507e-08       1.730500199218e-04 
  201       5.850588061870e+03       6.227904297058e-08       1.717997539372e-04 
  202       5.862582574946e+03       6.196082406364e-08       1.705520915678e-04 
  203       5.873966006592e+03       6.164362986454e-08       1.693075214446e-04 
  204       5.884735423960e+03       6.132781859178e-08       1.680664817170e-04 
  205       5.894888030510e+03       6.101372343648e-08       1.668293577611e-04 
  206       5.904421167614e+03       6.070165056496e-08       1.655964798599e-04 
  207       5.913332316168e+03       6.039187706886e-08       1.643681208542e-04 
  208       5.921619098193e+03       6.008464886231e-08       1.631444937646e-04 
  209       5.929279278442e+03       5.978017852562e-08       1.619257493850e-04 
  210       5.936310766006e+03       5.947864309500e-08       1.607119738464e-04 
  211       5.942711615919e+03       5.918018179773e-08       1.595031861526e-04 
  212       5.948480030766e+03       5.888489373225e-08       1.582993356869e-04 
  213       5.953614362288e+03       5.859283549276e-08       1.571002996891e-04 
  214       5.958113112984e+03       5.830401873761e-08       1.559058807044e-04 
  215       5.961974937724e+03       5.801840770115e-08       1.547158040035e-04 
  216       5.965198645348e+03       5.773591664838e-08       1.535297149730e-04 
  217       5.967783200278e+03       5.745640727196e-08       1.523471764775e-04 
  218       5.969727724117e+03       5.717968603099e-08       1.511676661927e-04 
  219       5.971031497261e+03       5.690550143104e-08       1.499905739097e-04 
  220       5.971693960501e+03       5.663354124504e-08       1.488151988098e-04 
  221       5.971714716632e+03       5.636342967422e-08       1.476407467113e-04 
  222       5.971093532054e+03       5.609472444892e-08       1.464663272866e-04 
  223       5.969830338383e+03       5.582691386847e-08       1.452909512509e-04 
  224       5.967925331542e+03       5.555956566794e-08       1.441138428365e-04 
  225       5.965379272796e+03       5.529280139478e-08       1.429354167264e-04 
  226       5.962193210183e+03       5.502687672503e-08       1.417563894838e-04 
  227       5.958368384593e+03       5.476203391584e-08       1.405774719343e-04 
  228       5.953906231607e+03       5.449850078110e-08       1.393993685030e-04 
  229       5.948808383334e+03       5.423648964255e-08       1.382227765414e-04 
  230       5.943076670250e+03       5.397619625606e-08       1.370483856467e-04 
  231       5.936713123033e+03       5.371779871289e-08       1.358768769711e-04 
  232       5.929719974406e+03       5.346145631570e-08       1.347089225233e-04 
  233       5.922099660970e+03       5.320730842904e-08       1.335451844604e-04 
  234       5.913854825045e+03       5.295547330421e-08       1.323863143715e-04 
  235       5.904988316507e+03       5.270604687813e-08       1.312329525518e-04 
  236       5.895503194625e+03       5.245910154609e-08       1.300857272689e-04 
  237       5.885402729902e+03       5.221468490812e-08       1.289452540189e-04 
  238       5.874690405908e+03       5.197281848876e-08       1.278121347749e-04 
  239       5.863369921123e+03       5.173349643003e-08       1.266869572261e-04 
  240       5.851445190772e+03       5.149668415734e-08       1.255702940078e-04 
  241       5.838920348664e+03       5.126231701809e-08       1.244627019234e-04 
  242       5.825799749028e+03       5.103029889288e-08       1.233647211564e-04 
  243       5.812087968354e+03       5.080050077892e-08       1.222768744746e-04 
  244       5.797789807230e+03       5.057275934550e-08       1.211996664252e-04 
  245       5.782910292179e+03       5.034687546139e-08       1.201335825203e-04 
  246       5.767454677497e+03       5.012261269370e-08       1.190790884149e-04 
  247       5.751428447091e+03       4.989969577831e-08       1.180366290748e-04 
  248       5.734837316319e+03       4.967780906131e-08       1.170066279364e-04 
  249       5.717687233824e+03       4.945659491148e-08       1.159894860575e-04 
  250       5.699984181231e+03       4.923575391838e-08       1.149855390540e-04 
  251       5.681733555609e+03       4.901536177536e-08       1.139949255585e-04 
  252       5.662940754932e+03       4.879558558628e-08       1.130177057453e-04 
  253       5.643611378460e+03       4.857658474440e-08       1.120539014039e-04 
  254       5.623751228190e+03       4.835851040197e-08       1.111034947997e-04 
