# Matter power spectrum P(k) at redshift z=0
# for k=1.0455e-05 to 0.630534 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045502190352e-05       9.763904763076e+05 
       2.345441606625e-05       8.885990442068e+04 
       3.650012048881e-05       2.546740780582e+04 
       4.962788504237e-05       1.139701140947e+04 
       6.287405951073e-05       6.521098325260e+03 
       7.627592367555e-05       4.352559794824e+03 
       8.987202811233e-05       3.235714951167e+03 
       1.037025503081e-04       2.595620365285e+03 
       1.178096707459e-04       2.207092580614e+03 
       1.322379736369e-04       1.956636109024e+03 
       1.470348769806e-04       1.796356944601e+03 
       1.622510965668e-04       1.690896417090e+03 
       1.779411483237e-04       1.623951001624e+03 
       1.941638930002e-04       1.584738969821e+03 
       2.109831264269e-04       1.566590316628e+03 
       2.284682173870e-04       1.564439312821e+03 
       2.466947932597e-04       1.576334616827e+03 
       2.657454708177e-04       1.599297702962e+03 
       2.857106255763e-04       1.632032914897e+03 
       3.066891875273e-04       1.673784799268e+03 
       3.287894435280e-04       1.723883674948e+03 
       3.521298166163e-04       1.782142683383e+03 
       3.768395796892e-04       1.848286391981e+03 
       4.030594450627e-04       1.922428606436e+03 
       4.309419525431e-04       2.004656990690e+03 
       4.606515574819e-04       2.095384360725e+03 
       4.923642985711e-04       2.194870267790e+03 
       5.262669059450e-04       2.303555984931e+03 
       5.625551983808e-04       2.421857639504e+03 
       6.014316208227e-04       2.550313063352e+03 
       6.431017984332e-04       2.689440242130e+03 
       6.877700394195e-04       2.839755200970e+03 
       7.356338121204e-04       3.001797861896e+03 
       7.868773522801e-04       3.175852422558e+03 
       8.416647137348e-04       3.362284001610e+03 
       9.001327364924e-04       3.561308114793e+03 
       9.623845349426e-04       3.772965402623e+03 
       1.028484165185e-03       3.997101065634e+03 
       1.098453081357e-03       4.233701922085e+03 
       1.172268825680e-03       4.481930617124e+03 
       1.249866136926e-03       4.741430171743e+03 
       1.331140358256e-03       5.011436896410e+03 
       1.415952744549e-03       5.291272903224e+03 
       1.504137071098e-03       5.579693232801e+03 
       1.595506863749e-03       5.875641204988e+03 
       1.689862605035e-03       6.178626248206e+03 
       1.786998393189e-03       6.486955723023e+03 
       1.886707698737e-03       6.800416309035e+03 
       1.988788035531e-03       7.117499392389e+03 
       2.093044510005e-03       7.437043519565e+03 
       2.199292319381e-03       7.759284502027e+03 
       2.307358334374e-03       8.082708386202e+03 
       2.417081930918e-03       8.406217798127e+03 
       2.528315238079e-03       8.730196755835e+03 
       2.640922955419e-03       9.053759234717e+03 
       2.754781870813e-03       9.376190409935e+03 
       2.869780184702e-03       9.697161947712e+03 
       2.985816722790e-03       1.001606465481e+04 
       3.102800098040e-03       1.033272521784e+04 
       3.220647865302e-03       1.064701707520e+04 
       3.339285698042e-03       1.095861867328e+04 
       3.458646606030e-03       1.126765342904e+04 
       3.578670205040e-03       1.157306702344e+04 
       3.699302043992e-03       1.187493685788e+04 
       3.820492991104e-03       1.217327712060e+04 
       3.942198678025e-03       1.246878171595e+04 
       4.064378999279e-03       1.275957410933e+04 
       4.186997663430e-03       1.304715152528e+04 
       4.310021791847e-03       1.333093514208e+04 
       4.433421560840e-03       1.361000202519e+04 
       4.557169882967e-03       1.388625778759e+04 
       4.681242123494e-03       1.415734250927e+04 
       4.805615848282e-03       1.442518128665e+04 
       4.930270599643e-03       1.468841542334e+04 
       5.055187697032e-03       1.494839725373e+04 
       5.180350059777e-03       1.520282859206e+04 
       5.305742049301e-03       1.545460011973e+04 
       5.431349328599e-03       1.570112242240e+04 
       5.557158736975e-03       1.594437561163e+04 
       5.683158178278e-03       1.618382172947e+04 
       5.809336521071e-03       1.641776082633e+04 
       5.935683509363e-03       1.664915684300e+04 
       6.062189682703e-03       1.687601093662e+04 
       6.188846304553e-03       1.709833943544e+04 
       6.315645298016e-03       1.731739658212e+04 
       6.442579188090e-03       1.753225510937e+04 
       6.569641049711e-03       1.774303394207e+04 
       6.696824460961e-03       1.794987543188e+04 
       6.824123460868e-03       1.815289744107e+04 
       6.951532511286e-03       1.835237640173e+04 
