# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
   87       8.561367983893e+20       9.448135407288e+08      -1.620730901952e+13 
   88       8.754961046532e+20       8.921785269327e+08      -2.674242364350e+13 
   89       8.998703909565e+20       8.403382353271e+08      -3.773411802222e+13 
   90       9.270074726149e+20       7.895269394946e+08      -4.881133585680e+13 
   91       9.544333928338e+20       7.399582546635e+08      -5.955267314766e+13 
   92       9.794461322666e+20       6.918208572690e+08      -6.948361773371e+13 
   93       9.996366219363e+20       6.452856594933e+08      -7.816942979412e+13 
   94       1.014555081737e+21       6.005402171166e+08      -8.552419347753e+13 
   95       1.024284835104e+21       5.577561011803e+08      -9.156601789096e+13 
   96       1.028938271217e+21       5.170738240959e+08      -9.632837252550e+13 
   97       1.028657792769e+21       4.785982697764e+08      -9.986113697020e+13 
   98       1.023616763734e+21       4.423938820606e+08      -1.022316750282e+14 
   99       1.014020457126e+21       4.084796064578e+08      -1.035259332347e+14 
  100       1.000107002771e+21       3.768235802448e+08      -1.038495637780e+14 
  101       9.821483350680e+20       3.473375659428e+08      -1.033290718214e+14 
  102       9.604511407582e+20       3.198711232035e+08      -1.021129872285e+14 
  103       9.353578066882e+20       2.942055141361e+08      -1.003730606899e+14 
  104       9.072189389196e+20       2.701188943970e+08      -9.827170915537e+13 
  105       8.763046508843e+20       2.476165717065e+08      -9.585410386688e+13 
  106       8.428830026702e+20       2.267504751465e+08      -9.313655381312e+13 
  107       8.072479872514e+20       2.075506107710e+08      -9.013853736907e+13 
  108       7.697201658505e+20       1.900226450985e+08      -8.688286433527e+13 
  109       7.306473033019e+20       1.741453801642e+08      -8.339584106860e+13 
  110       6.904050034142e+20       1.598681181869e+08      -7.970743870482e+13 
  111       6.493973443330e+20       1.471079139044e+08      -7.585146447255e+13 
  112       6.080575139038e+20       1.357467126309e+08      -7.186573609901e+13 
  113       5.668484450347e+20       1.256283720902e+08      -6.779225930726e+13 
  114       5.262634510592e+20       1.165555660787e+08      -6.367740840508e+13 
  115       4.868268610990e+20       1.082865680123e+08      -5.957210996547e+13 
  116       4.490017498981e+20       1.005893843399e+08      -5.552395930764e+13 
  117       4.128990420454e+20       9.342669880724e+07      -5.155152259539e+13 
  118       3.785340687991e+20       8.680924813850e+07      -4.766570894749e+13 
  119       3.459161249655e+20       8.074163450015e+07      -4.387741048252e+13 
  120       3.150482828158e+20       7.522174081015e+07      -4.019748003928e+13 
  121       2.859272060032e+20       7.024012275783e+07      -3.663670831400e+13 
  122       2.585429634796e+20       6.577937716119e+07      -3.320580041403e+13 
  123       2.328788434125e+20       6.181348628786e+07      -2.991535182820e+13 
  124       2.089111671020e+20       5.830713776618e+07      -2.677582381377e+13 
  125       1.866091028975e+20       5.521501971254e+07      -2.379751820009e+13 
  126       1.659344801150e+20       5.248109070158e+07      -2.099055160873e+13 
  127       1.468416029534e+20       5.003782420547e+07      -1.836482909039e+13 
  128       1.292770644119e+20       4.780542712854e+07      -1.593001717827e+13 
  129       1.131856329969e+20       4.570876328396e+07      -1.369389145146e+13 
  130       9.852903822329e+19       4.373414519742e+07      -1.165713022453e+13 
  131       8.526890384104e+19       4.188338385742e+07      -9.817613668162e+12 
  132       7.336071854705e+19       4.015702392840e+07      -8.171909885534e+12 
  133       6.275369335689e+19       3.855423611375e+07      -6.715209089409e+12 
  134       5.339061897630e+19       3.707270565871e+07      -5.441256657182e+12 
  135       4.520772317279e+19       3.570851693691e+07      -4.342285063806e+12 
  136       3.813452814715e+19       3.445603406498e+07      -3.408944692623e+12 
  137       3.209370790509e+19       3.330777748905e+07      -2.630233524100e+12 
  138       2.700094562874e+19       3.225429648753e+07      -1.993425702457e+12 
  139       2.276479104823e+19       3.128403753407e+07      -1.483998980207e+12 
  140       1.928651781325e+19       3.038320846488e+07      -1.085561040590e+12 
  141       1.645998086464e+19       2.953563839463e+07      -7.797746979048e+11 
  142       1.417147380592e+19       2.872263332481e+07      -5.462819757544e+11 
  143       1.229958627485e+19       2.792282738893e+07      -3.626270631784e+11 
  144       1.073580557749e+19       2.711669331879e+07      -2.084978442830e+11 
  145       9.448911765144e+18       2.630141927793e+07      -7.932814027766e+10 
  146       8.426689474113e+18       2.547865536622e+07       2.544376459919e+10 
  147       7.655730523217e+18       2.465010140063e+07       1.065239466076e+11 
  148       7.121410505253e+18       2.381750533583e+07       1.647689572334e+11 
  149       6.807865378457e+18       2.298266156881e+07       2.011920291775e+11 
  150       6.697968057969e+18       2.214740912552e+07       2.169693736077e+11 
  151       6.773305007294e+18       2.131362972756e+07       2.134465686723e+11 
  152       7.014152829762e+18       2.048324573691e+07       1.921450392765e+11 
  153       7.399454859991e+18       1.965821797690e+07       1.547686281210e+11 
  154       7.906797755350e+18       1.884054342709e+07       1.032102580023e+11 
  155       8.512388087420e+18       1.803225279055e+07       3.955868537588e+10 
  156       9.191028933456e+18       1.723540793111e+07      -3.389465481859e+10 
  157       9.916096467849e+18       1.645209917896e+07      -1.146487130698e+11 
  158       1.065951655359e+19       1.568444250243e+07      -1.999857979451e+11 
  159       1.139174133372e+19       1.493457654398e+07      -2.869644574784e+11 
  160       1.208172582282e+19       1.420465951858e+07      -3.724122692961e+11 
  161       1.270275054703e+19       1.349666210084e+07      -4.535073815136e+11 
  162       1.325051725511e+19       1.281171165469e+07      -5.296256961701e+11 
  163       1.372661617181e+19       1.215062640492e+07      -6.007246265713e+11 
  164       1.413282733628e+19       1.151409995518e+07      -6.667765154792e+11 
  165       1.447112409045e+19       1.090269155828e+07      -7.277692978328e+11 
  166       1.474367656746e+19       1.031681609383e+07      -7.837071728581e+11 
  167       1.495285518003e+19       9.756733749836e+06      -8.346112855667e+11 
  168       1.510123410886e+19       9.222539404655e+06      -8.805204176438e+11 
  169       1.519159479102e+19       8.714151705890e+06      -9.214916877261e+11 
  170       1.522692940835e+19       8.231301842730e+06      -9.576012610672e+11 
  171       1.521044437589e+19       7.773522008231e+06      -9.889450685943e+11 
  172       1.514556383021e+19       7.340133548074e+06      -1.015639535352e+12 
  173       1.503593311784e+19       6.930234792304e+06      -1.037822318337e+12 
  174       1.488542228371e+19       6.542688566571e+06      -1.055653053721e+12 
  175       1.469812955945e+19       6.176109379381e+06      -1.069314113462e+12 
  176       1.447838485186e+19       5.828850281884e+06      -1.079011371308e+12 
  177       1.423075323130e+19       5.498989396698e+06      -1.084974978186e+12 
  178       1.396003842005e+19       5.184316112304e+06      -1.087460146981e+12 
  179       1.367128628073e+19       4.882316939507e+06      -1.086747946707e+12 
  180       1.336899849795e+19       4.590730142701e+06      -1.083101611919e+12 
  181       1.305469644141e+19       4.309339996950e+06      -1.076627924225e+12 
  182       1.272916990666e+19       4.038438025858e+06      -1.067400883832e+12 
  183       1.239325009534e+19       3.778276020909e+06      -1.055505075613e+12 
  184       1.204781019460e+19       3.529063296244e+06      -1.041036007670e+12 
  185       1.169376595635e+19       3.290963869864e+06      -1.024100453850e+12 
  186       1.133207627671e+19       3.064093570517e+06      -1.004816800197e+12 
  187       1.096374377527e+19       2.848517069464e+06      -9.833153953426e+11 
  188       1.058981537450e+19       2.644244836344e+06      -9.597389048457e+11 
  189       1.021138287905e+19       2.451230018368e+06      -9.342426694686e+11 
  190       9.829583555151e+18       2.269365242043e+06      -9.069950673955e+11 
  191       9.445600709897e+18       2.098479336654e+06      -8.781778803933e+11 
  192       9.060664270642e+18       1.938333978716e+06      -8.479866639133e+11 
  193       8.676051364326e+18       1.788620256623e+06      -8.166311211345e+11 
  194       8.293086896829e+18       1.648955154697e+06      -7.843354809489e+11 
  195       7.913144132313e+18       1.518877955866e+06      -7.513388798876e+11 
  196       7.537645272573e+18       1.397846562182e+06      -7.178957479894e+11 
  197       7.168062036383e+18       1.285233732407e+06      -6.842761986095e+11 
  198       6.805916238842e+18       1.180323235863e+06      -6.507664221715e+11 
  199       6.452780370723e+18       1.082305921792e+06      -6.176690838591e+11 
  200       6.110278177819e+18       9.902757034172e+05      -5.853037252511e+11 
  201       5.779789900400e+18       9.034151505814e+05      -5.539505986706e+11 
  202       5.461543323248e+18       8.215907351971e+05      -5.236745914772e+11 
  203       5.155458839999e+18       7.448341128430e+05      -4.944832761554e+11 
  204       4.861438665736e+18       6.731589142022e+05      -4.663817245200e+11 
  205       4.579366543448e+18       6.065597895874e+05      -4.393724175067e+11 
  206       4.309107450497e+18       5.450114316698e+05      -4.134551539260e+11 
  207       4.050507305082e+18       4.884675762089e+05      -3.886269581805e+11 
  208       3.803392672703e+18       4.368599805806e+05      -3.648819869440e+11 
  209       3.567570472625e+18       3.900973799011e+05      -3.422114348046e+11 
  210       3.342827684343e+18       3.480644205443e+05      -3.206034388705e+11 
  211       3.128931054048e+18       3.106205708500e+05      -3.000429823381e+11 
  212       2.925626801087e+18       2.775990088206e+05      -2.805117970237e+11 
  213       2.732640324430e+18       2.488054866027e+05      -2.619882648582e+11 
  214       2.549675909137e+18       2.240171715530e+05      -2.444473183440e+11 
  215       2.376416432815e+18       2.029814636842e+05      -2.278603399756e+11 
  216       2.212523072091e+18       1.854147892890e+05      -2.121950606229e+11 
  217       2.057635009071e+18       1.710013705402e+05      -1.974154568768e+11 
  218       1.911369137803e+18       1.593919708639e+05      -1.834816473593e+11 
  219       1.773319770747e+18       1.502026158820e+05      -1.703497879943e+11 
  220       1.643058345236e+18       1.430132897250e+05      -1.579719662438e+11 
  221       1.520133129937e+18       1.373666065078e+05      -1.462960943046e+11 
  222       1.404068931324e+18       1.327664567706e+05      -1.352658012702e+11 
  223       1.294366800133e+18       1.286766286784e+05      -1.248203242538e+11 
  224       1.190579704683e+18       1.246218829364e+05      -1.149056070825e+11 
  225       1.092545564094e+18       1.205086656082e+05      -1.055090187671e+11 
  226       1.000168631449e+18       1.163426137576e+05      -9.662775817943e+10 
