# Matter power spectrum P(k) at redshift z=0
# for k=1.0455e-05 to 0.630534 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.366341848996e-02       2.633316506348e+04 
       1.379361932031e-02       2.637991027189e+04 
       1.392385660046e-02       2.642565298289e+04 
       1.405413045830e-02       2.647051528151e+04 
       1.418444104463e-02       2.651094226668e+04 
       1.431478853281e-02       2.655078459819e+04 
       1.444517311843e-02       2.658763933572e+04 
       1.457559501907e-02       2.662081517110e+04 
       1.470605447398e-02       2.665489531066e+04 
       1.483655174393e-02       2.668526140783e+04 
       1.496708711095e-02       2.671339324431e+04 
       1.509766087821e-02       2.673860404874e+04 
       1.522827336988e-02       2.676440552317e+04 
       1.535892493098e-02       2.678662459303e+04 
       1.548961592732e-02       2.680622540584e+04 
       1.562034674546e-02       2.682542487595e+04 
       1.575111779260e-02       2.684146244021e+04 
       1.588192949662e-02       2.685513121544e+04 
       1.601278230605e-02       2.686838689924e+04 
       1.614367669013e-02       2.687898704736e+04 
       1.627461313879e-02       2.688854190999e+04 
       1.640559216277e-02       2.689567412058e+04 
       1.653661429368e-02       2.690126601111e+04 
       1.666768008409e-02       2.690561684181e+04 
       1.679879010766e-02       2.690777724042e+04 
       1.692994495930e-02       2.690684808320e+04 
       1.706114525527e-02       2.690640202121e+04 
       1.719239163341e-02       2.690278576089e+04 
       1.732368475329e-02       2.689860223852e+04 
       1.745502529643e-02       2.689174416344e+04 
       1.758641396653e-02       2.688374430588e+04 
       1.771785148971e-02       2.687522336221e+04 
       1.784933861475e-02       2.686332752933e+04 
       1.798087611340e-02       2.685061599800e+04 
       1.811246478063e-02       2.683773224262e+04 
       1.824410543496e-02       2.682145912507e+04 
       1.837579891878e-02       2.680485028912e+04 
       1.850754609871e-02       2.678588111026e+04 
       1.863934786590e-02       2.676600877910e+04 
       1.877120513648e-02       2.674456057252e+04 
       1.890311885190e-02       2.672217368025e+04 
       1.903508997937e-02       2.669820540918e+04 
       1.916711951225e-02       2.667289859746e+04 
       1.929920847052e-02       2.664685254673e+04 
       1.943135790125e-02       2.661855494994e+04 
       1.956356887905e-02       2.658903394239e+04 
       1.969584250658e-02       2.655921213211e+04 
       1.982817991508e-02       2.652735501701e+04 
       1.996058226490e-02       2.649470219835e+04 
       2.009305074603e-02       2.646044788560e+04 
       2.022558657870e-02       2.642469029846e+04 
       2.035819101396e-02       2.638821646721e+04 
       2.049086533430e-02       2.635081560220e+04 
       2.062361085429e-02       2.631219943340e+04 
       2.075642892123e-02       2.627238902478e+04 
       2.088932091580e-02       2.623142298435e+04 
       2.102228825282e-02       2.619002185877e+04 
       2.115533238193e-02       2.614648512084e+04 
       2.128845478831e-02       2.610240793939e+04 
       2.142165699354e-02       2.605747123390e+04 
       2.155494055628e-02       2.601142294938e+04 
       2.168830707319e-02       2.596444143431e+04 
       2.182175817971e-02       2.591647173496e+04 
       2.195529555095e-02       2.586827849625e+04 
       2.208892090262e-02       2.581777390497e+04 
       2.222263599189e-02       2.576748452817e+04 
       2.235644261843e-02       2.571563063980e+04 
       2.249034262531e-02       2.566313033381e+04 
       2.262433790009e-02       2.560982958077e+04 
       2.275843037583e-02       2.555565709064e+04 
       2.289262203217e-02       2.550081394601e+04 
       2.302691489648e-02       2.544504862990e+04 
       2.316131104496e-02       2.538840955941e+04 
       2.329581260387e-02       2.533105070636e+04 
       2.343042175073e-02       2.527299085043e+04 
       2.356514071558e-02       2.521424943519e+04 
       2.369997178231e-02       2.515504279890e+04 
       2.383491728995e-02       2.509440397684e+04 
       2.396997963412e-02       2.503343192723e+04 
       2.410516126841e-02       2.497177193571e+04 
       2.424046470587e-02       2.490948394081e+04 
       2.437589252055e-02       2.484654363087e+04 
       2.451144734904e-02       2.478298447716e+04 
       2.464713189211e-02       2.471876952103e+04 
       2.478294891637e-02       2.465395935284e+04 
       2.491890125604e-02       2.458854621356e+04 
       2.505499181466e-02       2.452264569051e+04 
       2.519122356701e-02       2.445598016965e+04 
