# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
   89       1.690085634866e+13       5.053263852477e+02       1.802914826499e+06 
   90       1.728190474461e+13       5.092225340906e+02       1.798007749354e+06 
   91       1.766713978614e+13       5.130670692301e+02       1.792831884506e+06 
   92       1.805654230404e+13       5.168487947227e+02       1.787373268416e+06 
   93       1.845010006022e+13       5.205563557655e+02       1.781618452627e+06 
   94       1.884783402694e+13       5.241946923106e+02       1.775591043377e+06 
   95       1.924977601694e+13       5.277723707474e+02       1.769321721669e+06 
   96       1.965596082002e+13       5.312966487465e+02       1.762836993803e+06 
   97       2.006642628371e+13       5.347732034321e+02       1.756158697120e+06 
   98       2.048121339386e+13       5.382058431326e+02       1.749303491616e+06 
   99       2.090036635530e+13       5.415962023425e+02       1.742282337425e+06 
  100       2.132393267245e+13       5.449434195318e+02       1.735099958187e+06 
  101       2.175196322998e+13       5.482437974374e+02       1.727754290277e+06 
  102       2.218451237339e+13       5.514904454714e+02       1.720235917919e+06 
  103       2.262163798970e+13       5.546729038824e+02       1.712527494170e+06 
  104       2.306338670809e+13       5.577810036988e+02       1.704613016863e+06 
  105       2.350974705162e+13       5.608185381163e+02       1.696509116999e+06 
  106       2.396069007788e+13       5.637925080566e+02       1.688238982597e+06 
  107       2.441618361187e+13       5.667090231271e+02       1.679822741552e+06 
  108       2.487619216316e+13       5.695731314260e+02       1.671277149803e+06 
  109       2.534067684294e+13       5.723886400845e+02       1.662615271597e+06 
  110       2.580959528122e+13       5.751579263605e+02       1.653846151861e+06 
  111       2.628290154387e+13       5.778817390993e+02       1.644974480663e+06 
  112       2.676054604975e+13       5.805589903751e+02       1.636000249793e+06 
  113       2.724247548788e+13       5.831865371300e+02       1.626918401424e+06 
  114       2.772863273445e+13       5.857589526225e+02       1.617718468885e+06 
  115       2.821895677005e+13       5.882682875041e+02       1.608384209541e+06 
  116       2.871339796852e+13       5.907070296383e+02       1.598901453856e+06 
  117       2.921196624977e+13       5.930783647417e+02       1.589284103626e+06 
  118       2.971468865310e+13       5.953879179286e+02       1.579552158348e+06 
  119       3.022159454162e+13       5.976406530686e+02       1.569723730631e+06 
  120       3.073271565530e+13       5.998407613441e+02       1.559814865207e+06 
  121       3.124808616401e+13       6.019915443824e+02       1.549839353798e+06 
  122       3.176774272051e+13       6.040952918644e+02       1.539808545815e+06 
  123       3.229172451352e+13       6.061531535139e+02       1.529731154919e+06 
  124       3.282007332074e+13       6.081650053689e+02       1.519613061415e+06 
  125       3.335283356183e+13       6.101293102377e+02       1.509457110502e+06 
  126       3.389005235152e+13       6.120429722437e+02       1.499262906359e+06 
  127       3.443177955256e+13       6.139011853602e+02       1.489026602086e+06 
  128       3.497806782879e+13       6.156972758385e+02       1.478740685485e+06 
  129       3.552896337493e+13       6.174251460248e+02       1.468399011235e+06 
  130       3.608447684354e+13       6.190875789192e+02       1.458013310627e+06 
  131       3.664460931404e+13       6.206894308369e+02       1.447598980446e+06 
  132       3.720936131656e+13       6.222351136813e+02       1.437169955586e+06 
  133       3.777873281821e+13       6.237285243456e+02       1.426738590256e+06 
  134       3.835272320943e+13       6.251729709954e+02       1.416315536779e+06 
  135       3.893133129027e+13       6.265710961817e+02       1.405909621970e+06 
  136       3.951455525672e+13       6.279247967338e+02       1.395527721106e+06 
  137       4.010239268701e+13       6.292351403812e+02       1.385174629482e+06 
  138       4.069484052796e+13       6.305022790544e+02       1.374852931552e+06 
  139       4.129189508125e+13       6.317253588135e+02       1.364562867657e+06 
  140       4.189355198976e+13       6.329024263547e+02       1.354302198345e+06 
  141       4.249980622389e+13       6.340303320435e+02       1.344066066269e+06 
  142       4.311065206785e+13       6.351046294240e+02       1.333846855675e+06 
  143       4.372608310598e+13       6.361194711544e+02       1.323634049483e+06 
  144       4.434609313359e+13       6.370696615031e+02       1.313418955343e+06 
  145       4.497067901951e+13       6.379575089159e+02       1.303209986786e+06 
  146       4.559983810104e+13       6.387871102598e+02       1.293019362675e+06 
  147       4.623356727647e+13       6.395622654742e+02       1.282858367870e+06 
  148       4.687186299672e+13       6.402864335409e+02       1.272737284553e+06 
  149       4.751472125698e+13       6.409626866997e+02       1.262665322304e+06 
  150       4.816213758831e+13       6.415936628827e+02       1.252650546920e+06 
  151       4.881410704927e+13       6.421815163433e+02       1.242699807992e+06 
  152       4.947062421758e+13       6.427278664523e+02       1.232818665222e+06 
  153       5.013168318170e+13       6.432337446374e+02       1.223011313497e+06 
  154       5.079727753250e+13       6.436995394390e+02       1.213280506707e+06 
  155       5.146740035486e+13       6.441249396576e+02       1.203627480315e+06 
  156       5.214204421931e+13       6.445088755669e+02       1.194051872676e+06 
  157       5.282120117365e+13       6.448494581673e+02       1.184551645105e+06 
  158       5.350486273457e+13       6.451439164531e+02       1.175123000691e+06 
  159       5.419301987932e+13       6.453885326695e+02       1.165760301867e+06 
  160       5.488566303727e+13       6.455785755324e+02       1.156455986722e+06 
  161       5.558278772121e+13       6.457099457702e+02       1.147203818377e+06 
  162       5.628441199832e+13       6.457845912086e+02       1.138009300310e+06 
  163       5.699056055536e+13       6.458059121485e+02       1.128880479340e+06 
  164       5.770125921547e+13       6.457771036634e+02       1.119824691574e+06 
