# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       8.797570166163e+06       9.764595220161e-12       5.267871285287e-02       1.670204436746e+08       1.415797111948e+04       1.609304528724e-03       1.245557584921e+11       3.041349159373e-02       1.648277106284e+16       1.669171201061e+12       9.120135674640e+12       3.492914243310e-08       1.140226823556e+16       2.789582860527e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -2.660206654081e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.856432594027e-04       6.205472605862e-02 
       8.736415211291e+06       9.901769174850e-12       5.304742818407e-02       1.647067037179e+08       1.415797075076e+04       1.620569625845e-03       1.236899251859e+11       3.062636137735e-02       1.602921802720e+16       1.634603653373e+12       8.931263062503e+12       3.492914243310e-08       1.108851435572e+16       2.712829824963e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -2.716459930440e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.857236213899e-04       6.203185143600e-02 
       8.675685365341e+06       1.004087009944e-11       5.341872402096e-02       1.624250176084e+08       1.415797037947e+04       1.631913578161e-03       1.228301105820e+11       3.084072090312e-02       1.558814531550e+16       1.600751978982e+12       8.746301889516e+12       3.492914243310e-08       1.078339397572e+16       2.638188634508e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -2.773902728513e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.858039885480e-04       6.200902444890e-02 
       8.615377673236e+06       1.018192506197e-11       5.379261842063e-02       1.601749412711e+08       1.415797000557e+04       1.643336937650e-03       1.219762728423e+11       3.105658059435e-02       1.515920950932e+16       1.567601352579e+12       8.565171152121e+12       3.492914243310e-08       1.048666952937e+16       2.565601181119e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -2.832560201101e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.858843609154e-04       6.198624524379e-02 
       8.555489200441e+06       1.032496151069e-11       5.416912956753e-02       1.579560367835e+08       1.415796962906e+04       1.654840260156e-03       1.211283704196e+11       3.127395094727e-02       1.474207664001e+16       1.535137255883e+12       8.387791524290e+12       3.492914243310e-08       1.019810998756e+16       2.495010955635e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -2.892458032852e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.859647385310e-04       6.196351396842e-02 
       8.496017032819e+06       1.047000727938e-11       5.454827576796e-02       1.557678722902e+08       1.415796924991e+04       1.666424105413e-03       1.202863620554e+11       3.149284253152e-02       1.433642192867e+16       1.503345471273e+12       8.214085322795e+12       3.492914243310e-08       9.917490678337e+15       2.426363003781e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -2.953622451504e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.860451214338e-04       6.194083077184e-02 
       8.436958276491e+06       1.061709059275e-11       5.493007546465e-02       1.536100219186e+08       1.415796886811e+04       1.678089037073e-03       1.194502067781e+11       3.171326599064e-02       1.394192953327e+16       1.472212075569e+12       8.043976473177e+12       3.492914243310e-08       9.644593112017e+15       2.359603883384e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.016080239373e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.861255096631e-04       6.191819580438e-02 
       8.378310057695e+06       1.076624007199e-11       5.531454722041e-02       1.514820656965e+08       1.415796848364e+04       1.689835622734e-03       1.186198639010e+11       3.193523204261e-02       1.355829230273e+16       1.441723433933e+12       7.877390476435e+12       3.492914243310e-08       9.379204811039e+15       2.294681622768e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.079858745072e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.862059032586e-04       6.189560921769e-02 
       8.320069522645e+06       1.091748474025e-11       5.570170973442e-02       1.493835894698e+08       1.415796809648e+04       1.701664433967e-03       1.177952930201e+11       3.215875148037e-02       1.318521153778e+16       1.411866193892e+12       7.714254376397e+12       3.492914243310e-08       9.121119144541e+15       2.231545680289e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.144985895490e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.862863022601e-04       6.187307116474e-02 
       8.262233837391e+06       1.107085402838e-11       5.609158183506e-02       1.473141848224e+08       1.415796770661e+04       1.713576046342e-03       1.169764540122e+11       3.238383517232e-02       1.282239675840e+16       1.382627279500e+12       7.554496727769e+12       3.492914243310e-08       8.870135167482e+15       2.170146904989e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.211490208016e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.863667067079e-04       6.185058179981e-02 
       8.204800187686e+06       1.122637778058e-11       5.648418247802e-02       1.452734489963e+08       1.415796731401e+04       1.725571039461e-03       1.161633070332e+11       3.261049406289e-02       1.246956547765e+16       1.353993885601e+12       7.398047564846e+12       3.492914243310e-08       8.626057464180e+15       2.110437498328e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.279400803024e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.864471166425e-04       6.182814127853e-02 
       8.147765778842e+06       1.138408626023e-11       5.687953075903e-02       1.432609848134e+08       1.415796691866e+04       1.737649996981e-03       1.153558125158e+11       3.283873917302e-02       1.212644298170e+16       1.325953472230e+12       7.244838370873e+12       3.492914243310e-08       8.388695996166e+15       2.052370976971e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.348747416625e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.865275321048e-04       6.180574975786e-02 
       8.091127835602e+06       1.154401015581e-11       5.727764590301e-02       1.412764005983e+08       1.415796652054e+04       1.749813506645e-03       1.145539311679e+11       3.306858160074e-02       1.179276211599e+16       1.298493759115e+12       7.094802048033e+12       3.492914243310e-08       8.157865954216e+15       1.995902136602e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.419560413683e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.866079531358e-04       6.178340739612e-02 
       8.034883601997e+06       1.170618058681e-11       5.767854726764e-02       1.393193101019e+08       1.415796611964e+04       1.762062160311e-03       1.137576239703e+11       3.330003252168e-02       1.146826307719e+16       1.271602720301e+12       6.947872888065e+12       3.492914243310e-08       7.933387614466e+15       1.940987016726e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.491870801111e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.866883797770e-04       6.176111435298e-02 
       7.979030341217e+06       1.187062910984e-11       5.808225435067e-02       1.373893324261e+08       1.415796571594e+04       1.774396553978e-03       1.129668521753e+11       3.353310318961e-02       1.115269321089e+16       1.245268578885e+12       6.803986543488e+12       3.492914243310e-08       7.715086198471e+15       1.887582866449e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.565710241444e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.867688120701e-04       6.173887078950e-02 
       7.923565335477e+06       1.203738772474e-11       5.848878678262e-02       1.354860919500e+08       1.415796530940e+04       1.786817287818e-03       1.121815773044e+11       3.376780493702e-02       1.084580681496e+16       1.219479801854e+12       6.663079999417e+12       3.492914243310e-08       7.502791737129e+15       1.835648111189e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.641111066703e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.868492500572e-04       6.171667686809e-02 
       7.868485885885e+06       1.220648888078e-11       5.889816433228e-02       1.336092182567e+08       1.415796490003e+04       1.799324966204e-03       1.114017611467e+11       3.400414917564e-02       1.054736494819e+16       1.194225095039e+12       6.525091545969e+12       3.492914243310e-08       7.296338938340e+15       1.785142320317e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.718106292549e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.869296937805e-04       6.169453275256e-02 
       7.813789312308e+06       1.237796548304e-11       5.931040690666e-02       1.317583460609e+08       1.415796448778e+04       1.811920197741e-03       1.106273657566e+11       3.424214739698e-02       1.025713524424e+16       1.169493398166e+12       6.389960751234e+12       3.492914243310e-08       7.095567058314e+15       1.736026175670e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.796729632740e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.870101432828e-04       6.167243860813e-02 
       7.759472953245e+06       1.255185089874e-11       5.972553455467e-02       1.299331151381e+08       1.415796407266e+04       1.824603595291e-03       1.098583534528e+11       3.448181117293e-02       9.974891730774e+15       1.145273880011e+12       6.257628434811e+12       3.492914243310e-08       6.900319776409e+15       1.688261440950e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.877015513886e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.870905986071e-04       6.165039460142e-02 
       7.705534165695e+06       1.272817896379e-11       6.014356745982e-02       1.281331702545e+08       1.415796365462e+04       1.837375776008e-03       1.090946868153e+11       3.472315215630e-02       9.700414653477e+15       1.121555933661e+12       6.128036641890e+12       3.492914243310e-08       6.710445073428e+15       1.641810931948e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -3.958999090528e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.871710597966e-04       6.162840090044e-02 
       7.651970325029e+06       1.290698398931e-11       6.056452595112e-02       1.263581610978e+08       1.415796323366e+04       1.850237361365e-03       1.083363286848e+11       3.496618208137e-02       9.433490304966e+15       1.098329171863e+12       6.001128617870e+12       3.492914243310e-08       6.525795113253e+15       1.596638487601e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.042716260522e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.872515268951e-04       6.160645767466e-02 
       7.598778824865e+06       1.308830076837e-11       6.098843050131e-02       1.246077422087e+08       1.415796280976e+04       1.863188977187e-03       1.075832421600e+11       3.521091276447e-02       9.173910858399e+15       1.075583422480e+12       5.876848783504e+12       3.492914243310e-08       6.346226127741e+15       1.552708941835e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.128203680758e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.873319999463e-04       6.158456509496e-02 
       7.545957076936e+06       1.327216458271e-11       6.141530171953e-02       1.228815729143e+08       1.415796238289e+04       1.876231253678e-03       1.068353905961e+11       3.545735610458e-02       8.921474205662e+15       1.053308724032e+12       5.755142710558e+12       3.492914243310e-08       6.171598304784e+15       1.509988096188e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.215498783212e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.874124789946e-04       6.156272333368e-02 
       7.493502510969e+06       1.345861120962e-11       6.184516036592e-02       1.211793172612e+08       1.415796195303e+04       1.889364825453e-03       1.060927376032e+11       3.570552408386e-02       8.675983800004e+15       1.031495321337e+12       5.635957097972e+12       3.492914243310e-08       6.001775679457e+15       1.468442693188e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.304639791327e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.874929640846e-04       6.154093256462e-02 
       7.441412574557e+06       1.364767692889e-11       6.227802734065e-02       1.195006439504e+08       1.415796152016e+04       1.902590331570e-03       1.053552470442e+11       3.595542876827e-02       8.437248503012e+15       1.010133661234e+12       5.519239748521e+12       3.492914243310e-08       5.836626028150e+15       1.428040390457e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.395665736752e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.875734552613e-04       6.151919296301e-02 
       7.389684733036e+06       1.383939852989e-11       6.271392369490e-02       1.178452262730e+08       1.415796108427e+04       1.915908415560e-03       1.046228830333e+11       3.620708230813e-02       8.205082435786e+15       9.892143884070e+11       5.404939545953e+12       3.492914243310e-08       5.676020765623e+15       1.388749735534e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.488616476428e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.876539525698e-04       6.149750470558e-02 
       7.338316469361e+06       1.403381331872e-11       6.315287062353e-02       1.162127420461e+08       1.415796064532e+04       1.929319725459e-03       1.038956099341e+11       3.646049693874e-02       7.979304834215e+15       9.687283412784e+11       5.293006432602e+12       3.492914243310e-08       5.519834844890e+15       1.350540141388e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.583532710038e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.877344560558e-04       6.147586797054e-02 
       7.287305283984e+06       1.423095912542e-11       6.359488947055e-02       1.146028735505e+08       1.415796020330e+04       1.942824913839e-03       1.031733923579e+11       3.671568498092e-02       7.759739908238e+15       9.486665480037e+11       5.183391387467e+12       3.492914243310e-08       5.367946659853e+15       1.313381862603e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.680455997826e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.878149657653e-04       6.145428293759e-02 
       7.236648694731e+06       1.443087431140e-11       6.404000173097e-02       1.130153074686e+08       1.415795975819e+04       1.956424637840e-03       1.024561951621e+11       3.697265884166e-02       7.546216704969e+15       9.290202225394e+11       5.076046404743e+12       3.492914243310e-08       5.220237950625e+15       1.277245972222e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.779428778790e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.878954817445e-04       6.143274978793e-02 
       7.186344236685e+06       1.463359777687e-11       6.448822904531e-02       1.114497348237e+08       1.415795930996e+04       1.970119559201e-03       1.017439834483e+11       3.723143101470e-02       7.338568975598e+15       9.097807607958e+11       4.970924472794e+12       3.492914243310e-08       5.076593711452e+15       1.242104339228e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.880494389262e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.879760040399e-04       6.141126870427e-02 
       7.136389462062e+06       1.483916896838e-11       6.493959321233e-02       1.099058509198e+08       1.415795885860e+04       1.983910344293e-03       1.010367225608e+11       3.749201408115e-02       7.136635045947e+15       8.909397368685e+11       4.867979553569e+12       3.492914243310e-08       4.936902101166e+15       1.207929606640e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -4.983697081881e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.880565326987e-04       6.138983987086e-02 
       7.086781940092e+06       1.504762788653e-11       6.539411617814e-02       1.083833552819e+08       1.415795840407e+04       1.997797664153e-03       1.003343780845e+11       3.775442071006e-02       6.940257690590e+15       8.724888993487e+11       4.767166562436e+12       3.492914243310e-08       4.801054356110e+15       1.174695170216e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.089082044967e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.881370677681e-04       6.136846347347e-02 
       7.037519256905e+06       1.525901509374e-11       6.585182004164e-02       1.068819515981e+08       1.415795794637e+04       2.011782194514e-03       9.963691584399e+10       3.801866365908e-02       6.749284010444e+15       8.544201677093e+11       4.668441348441e+12       3.492914243310e-08       4.668944705453e+15       1.142375157741e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.196695422303e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.882176092957e-04       6.134713969940e-02 
       6.988599015408e+06       1.547337172214e-11       6.631272706181e-02       1.054013476615e+08       1.415795748546e+04       2.025864615838e-03       9.894430190106e+10       3.828475577507e-02       6.563565313713e+15       8.367256287660e+11       4.571760674966e+12       3.492914243310e-08       4.540470288839e+15       1.110944408886e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.306584333335e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.882981573296e-04       6.132586873753e-02 
       6.940018835174e+06       1.569073948157e-11       6.677685964860e-02       1.039412553135e+08       1.415795702133e+04       2.040045613353e-03       9.825650255357e+10       3.855270999470e-02       6.382957000123e+15       8.193975332118e+11       4.477082200800e+12       3.492914243310e-08       4.415531076296e+15       1.080378455615e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.418796893804e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.883787119182e-04       6.130465077830e-02 
       6.891776352319e+06       1.591116066769e-11       6.724424037020e-02       1.025013903879e+08       1.415795655395e+04       2.054325877081e-03       9.757348433363e+10       3.882253934509e-02       6.207318448336e+15       8.024282922232e+11       4.384364461594e+12       3.492914243310e-08       4.294029790356e+15       1.050653503145e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.533382236808e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.884592731102e-04       6.128348601370e-02 
       6.843869219395e+06       1.613467817019e-11       6.771489195125e-02       1.010814726550e+08       1.415795608330e+04       2.068706101874e-03       9.689521400599e+10       3.909425694445e-02       6.036512906461e+15       7.858104741368e+11       4.293566851697e+12       3.492914243310e-08       4.175871830317e+15       1.021746411410e+16       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.650390534311e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.885398409546e-04       6.126237463733e-02 
       6.796295105270e+06       1.636133548118e-11       6.818883727647e-02       9.968122576776e+07       1.415795560935e+04       2.083186987450e-03       9.622165856643e+10       3.936787600271e-02       5.870407385577e+15       7.695368011943e+11       4.204649606380e+12       3.492914243310e-08       4.060965198579e+15       9.936346770564e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.769873019109e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.886204155010e-04       6.124131684438e-02 
       6.749051695017e+06       1.659117670361e-11       6.866609939243e-02       9.830037720757e+07       1.415795513209e+04       2.097769238421e-03       9.555278524016e+10       3.964340982216e-02       5.708872556194e+15       7.536001463556e+11       4.117573784417e+12       3.492914243310e-08       3.949220429026e+15       9.662964159151e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -5.891882007259e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.887009967992e-04       6.122031283163e-02 
       6.702136689800e+06       1.682424655984e-11       6.914670150400e-02       9.693865823134e+07       1.415795465149e+04       2.112453564336e-03       9.488856148023e+10       3.992087179809e-02       5.551782647552e+15       7.379935301770e+11       4.032301251031e+12       3.492914243310e-08       3.840550517359e+15       9.397103459692e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.016470920983e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.887815848993e-04       6.119936279751e-02 
       6.655547806765e+06       1.706059040039e-11       6.963066697972e-02       9.559580381919e+07       1.415795416752e+04       2.127240679707e-03       9.422895496590e+10       4.020027541944e-02       5.399015349700e+15       7.227101177553e+11       3.948794661192e+12       3.492914243310e-08       3.734870853358e+15       9.138557707837e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.143694312051e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.888621798519e-04       6.117846694206e-02 
       6.609282778925e+06       1.730025421270e-11       7.011801935187e-02       9.427155262286e+07       1.415795368017e+04       2.142131304048e-03       9.357393360113e+10       4.048163426947e-02       5.250451718262e+15       7.077432157337e+11       3.867017443265e+12       3.492914243310e-08       3.632099155004e+15       8.887125633925e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.273607885669e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.889427817079e-04       6.115762546694e-02 
       6.563339355052e+06       1.754328463012e-11       7.060878231459e-02       9.296564691487e+07       1.415795318941e+04       2.157126161911e-03       9.292346551299e+10       4.076496202641e-02       5.105976081831e+15       6.930862693711e+11       3.786933782992e+12       3.492914243310e-08       3.532155404417e+15       8.642611506300e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.406268524859e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.890233905188e-04       6.113683857548e-02 
       6.517715299568e+06       1.778972894096e-11       7.110297972940e-02       9.167783253829e+07       1.415795269521e+04       2.172225982918e-03       9.227751905009e+10       4.105027246409e-02       4.965475951903e+15       6.787328596708e+11       3.708508607805e+12       3.492914243310e-08       3.434961785549e+15       8.404824978919e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.541734315366e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.891040063361e-04       6.111610647269e-02 
       6.472408392434e+06       1.803963509767e-11       7.160063562878e-02       9.040785885736e+07       1.415795219755e+04       2.187431501800e-03       9.163606278109e+10       4.133757945268e-02       4.828841935298e+15       6.646767005700e+11       3.631707571469e+12       3.492914243310e-08       3.340442623602e+15       8.173580943173e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.680064571087e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.891846292119e-04       6.109542936521e-02 
       6.427416429044e+06       1.829305172621e-11       7.210177420529e-02       8.915547870863e+07       1.415795169642e+04       2.202743458429e-03       9.099906549311e+10       4.162689695928e-02       4.695967648986e+15       6.509116361863e+11       3.556497039039e+12       3.492914243310e-08       3.248524326104e+15       7.948699383765e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.821319860031e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.892652591987e-04       6.107480746139e-02 
       6.382737220116e+06       1.855002813549e-11       7.260641982793e-02       8.792044835290e+07       1.415795119177e+04       2.218162597856e-03       9.036649619025e+10       4.191823904868e-02       4.566749637253e+15       6.374316381220e+11       3.482844072128e+12       3.492914243310e-08       3.159135325612e+15       7.730005238575e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -6.965562030843e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.893458963494e-04       6.105424097127e-02 
       6.338368591589e+06       1.881061432694e-11       7.311459702942e-02       8.670252742777e+07       1.415795068359e+04       2.233689670350e-03       8.973832409210e+10       4.221161988395e-02       4.441087291156e+15       6.242308028239e+11       3.410716414486e+12       3.492914243310e-08       3.072206023989e+15       7.517328262363e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -7.112854239871e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.894265407172e-04       6.103373010659e-02 
       6.294308384510e+06       1.907486100424e-11       7.362633052253e-02       8.550147890083e+07       1.415795017186e+04       2.249325431429e-03       8.911451863217e+10       4.250705372721e-02       4.318882770187e+15       6.113033489979e+11       3.340082477867e+12       3.492914243310e-08       2.987668738215e+15       7.310502894229e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -7.263260978821e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.895071923558e-04       6.101327508082e-02 
       6.250554454940e+06       1.934281958322e-11       7.414164518377e-02       8.431706902358e+07       1.415794965655e+04       2.265070641899e-03       8.849504945648e+10       4.280455494029e-02       4.200040926094e+15       5.986436150768e+11       3.270911328202e+12       3.492914243310e-08       2.905457647689e+15       7.109368128727e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -7.416848102985e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.895878513191e-04       6.099287610914e-02 
       6.207104673837e+06       1.961454220182e-11       7.466056606972e-02       8.314906728587e+07       1.415794913762e+04       2.280926067894e-03       8.787988642204e+10       4.310413798539e-02       4.084469228798e+15       5.862460567412e+11       3.203172672046e+12       3.492914243310e-08       2.825508742983e+15       6.913767390510e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -7.573682860074e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.896685176617e-04       6.097253340849e-02 
       6.163956926962e+06       1.989008173023e-11       7.518311841159e-02       8.199724637109e+07       1.415794861507e+04       2.296892480908e-03       8.726899959539e+10       4.340581742585e-02       3.972077694354e+15       5.741052444915e+11       3.136836843313e+12       3.492914243310e-08       2.747759776000e+15       6.723548412442e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -7.733833919653e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.897491914383e-04       6.095224719756e-02 
       6.121109114773e+06       2.016949178120e-11       7.570932761155e-02       8.086138211190e+07       1.415794808886e+04       2.312970657838e-03       8.666235925116e+10       4.370960792679e-02       3.862778814882e+15       5.622158612692e+11       3.071874790286e+12       3.492914243310e-08       2.672150211514e+15       6.538563117047e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -7.897371403206e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.898298727041e-04       6.093201769678e-02 
       6.078559152321e+06       2.045282672046e-11       7.623921925733e-02       7.974125344660e+07       1.415794755897e+04       2.329161381017e-03       8.605993587061e+10       4.401552425588e-02       3.756487490440e+15       5.505727001295e+11       3.008258062890e+12       3.492914243310e-08       2.598621180032e+15       6.358667501234e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -8.064366914831e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.899105615150e-04       6.091184512839e-02 
       6.036304969151e+06       2.074014167725e-11       7.677281910946e-02       7.863664237609e+07       1.415794702537e+04       2.345465438254e-03       8.546170014017e+10       4.432358128400e-02       3.653120962763e+15       5.391706619599e+11       2.945958800233e+12       3.492914243310e-08       2.527115431960e+15       6.183721524185e+15       3.078807465639e+00      -3.078807465639e+00      -1.000000000000e+00       8.000000000000e+00      -8.234893572587e-13       9.236422396917e+00       4.885891421389e+00      -1.170084738937e+01       1.899912579269e-04       6.089172971639e-02 
