# Matter power spectrum P(k) at redshift z=0
# for k=1.04656e-05 to 0.630317 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.373749570527e-02       2.676167055977e+04 
       1.386823829542e-02       2.681273807380e+04 
       1.399901739873e-02       2.686295907824e+04 
       1.412983314967e-02       2.690925464100e+04 
       1.426068570557e-02       2.695215782025e+04 
       1.439157524627e-02       2.699517039099e+04 
       1.452250197381e-02       2.703482832973e+04 
       1.465346611215e-02       2.707138803754e+04 
       1.478446790695e-02       2.710636289781e+04 
       1.491550762530e-02       2.713959481089e+04 
       1.504658555561e-02       2.717200068242e+04 
       1.517770200738e-02       2.720068393564e+04 
       1.530885731111e-02       2.722625205093e+04 
       1.544005181817e-02       2.725094274145e+04 
       1.557128590074e-02       2.727381207206e+04 
       1.570255995172e-02       2.729590384509e+04 
       1.583387438473e-02       2.731455857901e+04 
       1.596522963406e-02       2.733134632583e+04 
       1.609662615471e-02       2.734650420615e+04 
       1.622806442238e-02       2.735957511483e+04 
       1.635954493357e-02       2.737079429764e+04 
       1.649106820557e-02       2.737944878390e+04 
       1.662263477664e-02       2.738783653960e+04 
       1.675424520605e-02       2.739329130095e+04 
       1.688590007420e-02       2.739647563477e+04 
       1.701759998282e-02       2.739859378250e+04 
       1.714934555508e-02       2.739901017530e+04 
       1.728113743576e-02       2.739778842956e+04 
       1.741297629150e-02       2.739483012166e+04 
       1.754486281096e-02       2.739104734496e+04 
       1.767679770505e-02       2.738459115703e+04 
       1.780878170721e-02       2.737577861998e+04 
       1.794081557365e-02       2.736641332944e+04 
       1.807290008363e-02       2.735544304044e+04 
       1.820503603976e-02       2.734289823815e+04 
       1.833722426830e-02       2.732843671856e+04 
       1.846946561951e-02       2.731294155654e+04 
       1.860176096798e-02       2.729561928804e+04 
       1.873411121299e-02       2.727701342477e+04 
       1.886651727890e-02       2.725717485444e+04 
       1.899898011556e-02       2.723553101316e+04 
       1.913150069869e-02       2.721267410691e+04 
       1.926408003032e-02       2.718843342863e+04 
       1.939671913926e-02       2.716376057272e+04 
       1.952941908156e-02       2.713586075731e+04 
       1.966218094098e-02       2.710763053879e+04 
       1.979500582948e-02       2.707796422758e+04 
       1.992789488780e-02       2.704714222037e+04 
       2.006084928593e-02       2.701577512809e+04 
       2.019387022373e-02       2.698229695036e+04 
       2.032695893146e-02       2.694769039938e+04 
       2.046011667041e-02       2.691148960748e+04 
       2.059334473351e-02       2.687463845000e+04 
       2.072664444597e-02       2.683713185407e+04 
       2.086001716594e-02       2.679712474539e+04 
       2.099346428521e-02       2.675709217188e+04 
       2.112698722988e-02       2.671513712701e+04 
       2.126058746114e-02       2.667256518389e+04 
       2.139426647597e-02       2.662953694674e+04 
       2.152802580795e-02       2.658418850544e+04 
       2.166186702806e-02       2.653907127023e+04 
       2.179579174549e-02       2.649179754344e+04 
       2.192980160851e-02       2.644397517997e+04 
       2.206389830533e-02       2.639528524142e+04 
       2.219808356502e-02       2.634633857811e+04 
       2.233235915846e-02       2.629562445401e+04 
       2.246672689928e-02       2.624344301364e+04 
       2.260118864485e-02       2.619097236128e+04 
       2.273574629735e-02       2.613770273705e+04 
       2.287040180477e-02       2.608346795565e+04 
       2.300515716204e-02       2.602839746757e+04 
       2.314001441216e-02       2.597248448201e+04 
       2.327497564732e-02       2.591573232645e+04 
       2.341004301013e-02       2.585824252346e+04 
       2.354521869487e-02       2.580033202372e+04 
       2.368050494869e-02       2.574078141842e+04 
       2.381590407301e-02       2.568094030779e+04 
       2.395141842484e-02       2.562021177833e+04 
       2.408705041814e-02       2.555893480343e+04 
       2.422280252532e-02       2.549690871605e+04 
       2.435867727871e-02       2.543414189914e+04 
       2.449467727207e-02       2.537069264610e+04 
       2.463080516220e-02       2.530696685627e+04 
       2.476706367057e-02       2.524184509278e+04 
       2.490345558501e-02       2.517645182864e+04 
       2.503998376145e-02       2.511044579205e+04 
       2.517665112573e-02       2.504411785532e+04 
       2.531346067543e-02       2.497654025599e+04 
       2.545041548183e-02       2.490874853677e+04 
       2.558751869188e-02       2.484039728557e+04 
       2.572477353023e-02       2.477147233242e+04 
       2.586218330139e-02       2.470202333642e+04 
       2.599975139189e-02       2.463202383861e+04 
       2.613748127253e-02       2.456151745044e+04 
       2.627537650079e-02       2.449049389577e+04 
       2.641344072316e-02       2.441911278765e+04 
       2.655167767774e-02       2.434724947942e+04 
       2.669009119674e-02       2.427466275086e+04 
       2.682868520924e-02       2.420181053038e+04 
       2.696746374393e-02       2.412841576106e+04 
       2.710643093199e-02       2.405471737022e+04 
       2.724559101007e-02       2.398057714876e+04 
       2.738494832337e-02       2.390610444539e+04 
       2.752450732885e-02       2.383103849686e+04 
       2.766427259852e-02       2.375559811134e+04 
       2.780424882288e-02       2.368009658052e+04 
       2.794444081451e-02       2.360404320435e+04 
       2.808485351168e-02       2.352747503457e+04 
       2.822549198229e-02       2.345086418530e+04 
       2.836636142773e-02       2.337357377157e+04 
       2.850746718710e-02       2.329633217155e+04 
       2.864881474140e-02       2.321879832930e+04 
       2.879040971806e-02       2.314070280611e+04 
       2.893225789547e-02       2.306234973359e+04 
       2.907436520786e-02       2.298394975934e+04 
       2.921673775023e-02       2.290514142512e+04 
       2.935938178353e-02       2.282598559136e+04 
       2.950230374010e-02       2.274656304894e+04 
       2.964551022920e-02       2.266704970509e+04 
       2.978900804291e-02       2.258732979366e+04 
       2.993280416219e-02       2.250734406863e+04 
       3.007690576315e-02       2.242712111413e+04 
       3.022132022372e-02       2.234681716813e+04 
       3.036605513041e-02       2.226652026835e+04 
       3.051111828558e-02       2.218540330793e+04 
       3.065651771478e-02       2.210449276136e+04 
       3.080226167461e-02       2.202336635079e+04 
       3.094835866079e-02       2.194211437454e+04 
