# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
   89       3.401280958652e+03       1.709641400599e-08       1.537539948196e-04 
   90       3.467109586986e+03       1.671083884044e-08       1.519897265956e-04 
   91       3.533386719478e+03       1.633849413685e-08       1.502365462218e-04 
   92       3.600109935532e+03       1.597665883739e-08       1.484877264601e-04 
   93       3.667274404955e+03       1.562254541031e-08       1.467372330053e-04 
   94       3.734864733474e+03       1.527680603909e-08       1.449896106415e-04 
   95       3.802861888084e+03       1.494085705525e-08       1.432520048462e-04 
   96       3.871245625798e+03       1.461584640437e-08       1.415312164687e-04 
   97       3.939994459987e+03       1.430261241564e-08       1.398336473751e-04 
   98       4.009085626704e+03       1.400164034108e-08       1.381652444859e-04 
   99       4.078495051017e+03       1.371301661759e-08       1.365314422048e-04 
  100       4.148197313344e+03       1.343638080553e-08       1.349371032396e-04 
  101       4.218165615779e+03       1.317087515717e-08       1.333864578141e-04 
  102       4.288371748428e+03       1.291509176852e-08       1.318830412730e-04 
  103       4.358786055739e+03       1.266701726793e-08       1.304296300775e-04 
  104       4.429378614630e+03       1.242466869075e-08       1.290280701394e-04 
  105       4.500123022638e+03       1.218832968631e-08       1.276788668500e-04 
  106       4.570993061110e+03       1.195880454932e-08       1.263813897879e-04 
  107       4.641961508993e+03       1.173675800443e-08       1.251338987987e-04 
  108       4.713000122484e+03       1.152269618136e-08       1.239334683193e-04 
  109       4.784079614679e+03       1.131694666967e-08       1.227759100273e-04 
  110       4.855169635215e+03       1.111963763583e-08       1.216556938153e-04 
  111       4.926238749927e+03       1.093067598550e-08       1.205658670895e-04 
  112       4.997254420487e+03       1.074972455373e-08       1.194979723940e-04 
  113       5.068182984059e+03       1.057617830579e-08       1.184419633592e-04 
  114       5.138989632943e+03       1.040913953162e-08       1.173861189750e-04 
  115       5.209638394222e+03       1.024739201641e-08       1.163169561895e-04 
  116       5.280093057089e+03       1.008976502111e-08       1.152223265227e-04 
  117       5.350320126232e+03       9.936386656556e-09       1.141015443269e-04 
  118       5.420286190977e+03       9.787682132340e-09       1.129569340378e-04 
  119       5.489956997897e+03       9.644000419905e-09       1.117907976059e-04 
  120       5.559297438844e+03       9.505605227098e-09       1.106054061226e-04 
  121       5.628271538968e+03       9.372665583562e-09       1.094029912208e-04 
  122       5.696842444753e+03       9.245246030487e-09       1.081857362521e-04 
  123       5.764972412039e+03       9.123296408162e-09       1.069557672384e-04 
  124       5.832622794047e+03       9.006641234837e-09       1.057151435999e-04 
  125       5.899754029412e+03       8.894968670347e-09       1.044658486579e-04 
  126       5.966325630205e+03       8.787819057977e-09       1.032097799139e-04 
  127       6.032296169964e+03       8.684573038058e-09       1.019487391034e-04 
  128       6.097623271716e+03       8.584439226747e-09       1.006844220255e-04 
  129       6.162265621952e+03       8.486674698619e-09       9.941834187759e-05 
  130       6.226189287763e+03       8.391329819414e-09       9.815160744588e-05 
  131       6.289362073300e+03       8.298641460810e-09       9.688508876939e-05 
  132       6.351751558448e+03       8.208810034531e-09       9.561946787426e-05 
  133       6.413325101351e+03       8.121995540643e-09       9.435522601434e-05 
  134       6.474049840936e+03       8.038313461389e-09       9.309263066534e-05 
  135       6.533892699439e+03       7.957830498182e-09       9.183172227241e-05 
  136       6.592820384923e+03       7.880560149445e-09       9.057230075136e-05 
  137       6.650799393809e+03       7.806458126934e-09       8.931391174329e-05 
  138       6.707796013395e+03       7.735417608203e-09       8.805583262288e-05 
  139       6.763776324381e+03       7.667264322873e-09       8.679705826010e-05 
  140       6.818706203395e+03       7.601751470355e-09       8.553628653551e-05 
  141       6.872551325515e+03       7.538554466683e-09       8.427190360909e-05 
  142       6.925277166793e+03       7.477265518114e-09       8.300196894258e-05 
  143       6.976849006779e+03       7.417388019150e-09       8.172420007534e-05 
  144       7.027233874991e+03       7.358465388936e-09       8.043661066154e-05 
  145       7.076406601267e+03       7.300509082450e-09       7.913956457155e-05 
  146       7.124344369471e+03       7.243643431087e-09       7.783399577739e-05 
  147       7.171024840684e+03       7.187976769659e-09       7.652077682011e-05 
  148       7.216426166900e+03       7.133599823518e-09       7.520071393270e-05 
  149       7.260527004720e+03       7.080584038321e-09       7.387454207240e-05 
  150       7.303306529052e+03       7.028979851636e-09       7.254291986260e-05 
  151       7.344744446803e+03       6.978814905605e-09       7.120642444412e-05 
  152       7.384821010577e+03       6.930092199877e-09       6.986554623603e-05 
  153       7.423517032371e+03       6.882788184019e-09       6.852068360594e-05 
  154       7.460813897272e+03       6.836850788625e-09       6.717213744976e-05 
  155       7.496693577149e+03       6.792197394324e-09       6.582010568095e-05 
  156       7.531138644355e+03       6.748712737904e-09       6.446467762924e-05 
  157       7.564132285418e+03       6.706246754765e-09       6.310582834889e-05 
  158       7.595658314739e+03       6.664612356914e-09       6.174341283630e-05 
  159       7.625701188290e+03       6.623583145709e-09       6.037716015728e-05 
  160       7.654246017304e+03       6.582891058566e-09       5.900666748364e-05 
  161       7.681279979664e+03       6.542294291858e-09       5.763172928367e-05 
  162       7.706796665556e+03       6.501799910299e-09       5.625338703991e-05 
